text,true,pred
"such a delightful movie ! very heart warming . one can't help falling in love with the character of gigi . he's adorable as a child and grows into a sensitive artist . the whole movie revolves around him . he lives in a wonderful world living all life curiosity , desire and anticipation . there is an elder brother who tries to steal his glory but really remains in the shadow all his life . the father is very stereotypically italian and so is the mother . i wanted the father to come and reunite with the mother in the last scene and have them cry and laugh . i also wish that there was at least something redeeming about the elder brother . his personality seems to have been trashed entirely . passion and ardour that's the key to life . and looking through the camera focusing on small details and savoring the delicate details of life .",1,0
"the movie takes place during the year 1940 and the french are about to loose the war . br br the movie includes all genres comedy , romantic , murder and history . it is probable the historical part may be not as probable as the rest . br br it is not , however , a big laugh movie but the occasional large smile !",1,0
"the ma pa kettle characters were highly popular and controversial . the films that featured their brood paved the way for television sitcoms that came after it and sought to emulate its winning formula . one obvious reference is 'the beverly hillbillies , ' where the new home was bought with oil money , not having been won in a contest . you could even say the 1980s sitcom 'newhart' borrows its idea of backwards rural characters from this series . still , i wonder if betty macdonald , the washingtonbased author who created these characters , didn't do more harm than good . her portrayal of hillbilly characters makes them the butt of many jokes in terms of their alleged sloppiness and laziness . the real life family that macdonald based the kettles upon , successfully sued . . . claiming they had been ridiculed and humiliated with these lessthanflattering references . sure , it's comedy and the situations bring us a great many laughs and fun moments . . . and political correctness as we know it today did not exist in the 1940s and 1950s . but i think macdonald could've still written these characters more sensibly and universal international could've had its scriptwriters show them on screen with more dignity there's such a thing as good taste . the more realistic moments are when the oldest son tom is ashamed of his rural heritage but learns to accept his parents and siblings for who they are . for their part , the kettles have to realize that they don't exactly fit into a modern world . that's not a joke . . . that's a sober truth .",1,0
"well , well . . . . roeg touched a bit of a nerve there , didn't he ? he was a genius while he was cataloguing his various characters' descents into psychosis for a couple of decades , but as soon as he has the bad taste to suggest that redemption or even some good advice might be found in the bad old catholic church , the hipperthanthou alternative movie crowd gets extra vicious . worse still , theresa russell's character faced with experiences that nothing in her avowedly rationalist outlook has an explanation for , is unwillingly forced to deal with those experiences on another level that of the spiritual . you know , the realm of the ignorant and superstitious , the sort of thing that the arthouse cinephiles are supposed to be above . oh , the horror . . . so she finds her marriage the idea that it might be a uniquely important commitment affirmed by what seems uncomfortably like divine intervention . people who find this idea prima facie offensive could maybe ask themselves why they instinctively jump into attack mode at being challenged to take seriously the idea of a spiritual dimension to their lives . but they probably won't . sure , this film has some problems , notably talia shire's delirious hamwork as the overwrought nun , 1950sstyle attire and all . and the dialogue between marie davenport and the young priest in their last scene is straight out of the spellbound school of glib interpretations though hitchcock's movie escaped similar charges due to the source of wisdom having impeccably secular credentials as a freudian psychoanalyst . but , sadly , nicolas roeg appears to have copped a critical mauling as much for even asking the question as for the possible answers this film presents .",1,0
"this movie probably had a 750 budget , and still managed to surpass titanic . i rented this the day i crashed my mom's car , and it was the only thing that cheered me up beyond belief ! it has to be tied with 'the assult of the killer bimbos' . things to look for are 1 . the drive in blow job chinese girl scene 2 . the bleach blonde in the sassoon shirt who never changes 3 . the flinstonelike screech out driving 4 . the clashing ensemble worn by the redhead right before she gets killed don't worry , i'm not ruining any surprises , for it's soooo predictable 5 . the guy who finds it necessary to howl . 6 . the mental patient who plays a convincing job of being insane by poking out the eyes of a maniquen . 7 . the hour long chase at the end involving the teacher and the priest . 8 . the womman writing grafitti on the bathroom wall . 9 . last , but not least , the wonderful special effectsespecially the stab in the boob that made a . . . heaven help me . . . popping noise . br br enjoy ! br br",1,0
"as soon as i knew keira knighteley being in this flick , i said i have to watch this movie . she's the undisputed main character , domino , a bounty hunter . her job , as the no action scenes would teach us , reflects her rebel , violent attitude to life . i have to admit that it's the very first time that i watch an action movie whose most important scenes are the one in which the guns are far away from characters' hands . so , this stomped me a bit . anyway , for all the john woo's fans , there are helicopters falling down , explosions , gunfire as if it would rain , and a lovely keira that shoots with two machine guns , one per hand . the cast is absolutely brilliant . going beyond keira , which in this movie is a real tomboy , pretty much different from the lovely action figure we're used to see , mickey rourke is back , with his usual slapthrowing face and his potent body . christopher walken makes his job pretty well , as a reality show producer . br br let's go to the contents this movie has a journalistic shape . the talk show scene is disgustingly real . anyone that watched that load of . . . youknowwhat , can tell that this is the air that you breath in those situations . as well as the producer , when domino's mom says that the reality that should show domino's life is trash ; no offense , he answers i don't take it like an offense . this movie portrays a difficult life . domino , coming from a world that didn't want her , ed mickey rourke , a bounty hunter not so bounty , choco the third guy of the band , which family is using ed's words , the correctional institutes he's been , and alf , the driverbomber coming from afghanistan during the russian occupation . this bunch of people represents in some way the humankind born without the shirt ; unlucky , violent , and with nothing to lose , excepts their as they would consider miserable lives . the intro of the movie says that it is inspired by true story . . . more or less , so i couldn't possibly tell you how much of this stuff is true . anyway , going beyond explosions and dozens of weapons which could have been added to make the film easier to see , and be classified as an action movie , the characters' story is too realistic to be edulcorated . br br the interaction between the characters is various , well studied , and definitely not boring . what hasn't convinced me so much is the role of the psychiatrist lucy liu , sober as never in her acting career . it represents only the reason by which domino starts telling her story and that's a story . probably , the only con , in a movie with a lot of pros . br br all in all this isn't swat . the characters are crafted ; they have an identity , a shape . they have a name and a surname not just gamble and street . it's the case to say , it's the biography of a girl whose life went as fast as a bullet .",1,0
"no one would ever question that director leos carax is a genius , but what we wonder about is is he an insane genius ? so many people hated this film ! i am normally the first person to accuse many french directors of making offensive , boring , disgusting and pretentious films such as the horrible recent film 'l'enfant' and the pointless and offensive 'feux rouges' . but strangely enough , i actually think that 'pola x' is an amazing film , made with great skill and passion by a master of his craft , and containing remarkable performances . the film does carry melodrama to more extreme lengths than i believe i have ever seen on screen before . but then , carax is extreme , that we know . the film also contains what i consider way overthetop trotskyite or anarchist fantasies and wetdreams , what with a mysterious group of young men training to fire machine guns at the bourgeoisie in between playing scott walker's rather fascinating music in a band which has its recording sessions in an abandoned warehouse filled with squatters and fires burning in old steel barrels . guillaume depardieu plays a rich young man in a chteau whose stepmother is catherine deneuve , and he wanders into her bathroom while she is naked in the bath , by the way . but he suddenly 'snaps' completely when he discovers that his deceased father , a famous diplomat , had fathered an illegitimate daughter who had been effectively disposed of by deneuve as an inconvenience . this is because the sister suddenly turns up as a kind of romanian refugee with wild dishevelled hair , expressionless face , and little ability to speak french coherently . depardieu then transforms himself into a 'class hero' of the far left and wants to kill or destroy his family for their hypocrisy and corruption , and lives in squalor and extreme poverty , while scorning a vast inheritance . he then commences an incestuous sexual relationship with his halfsister , which is shown in an explicit sex scene which has offended many people , though i have no objection to it , as i think people are far too hysterical about sex , especially in america , where apparently it never happens . the intensity of the acting and the filming make this unlikely scenario come off as an experience of powerful , if depressing , hypermelodrama . the differences between carax making an extreme film like this and the numerous extreme french films which i think are pretentious and disgusting are 1 that carax is an excellent filmmaker , and 2 he is seriously attempting to explore a meaningful , if harrowing , extreme emotional condition , whereby a human being disintegrates and turns against his background . many would say that the extreme elements in this film were gratuitous , but i don't agree . i believe carax was genuine , and was not making an exploitation picture at all . it is very difficult to defend a man who goes that far and who , for all i know , may be a complete madman , but i believe he deserves defending for this remarkable cinematic achievement .",1,0
"it's a unique film , as it gives us our only chance to see the young noel coward in all his ironic glory . because he seems so reserved detached he's perfect for the role of an unloved cad who matteroffactly uses all those around him . however in the deadly serious no pun intended last act , when coward must make like the flying dutchman , he's much less comfortable . br br but his way with an epigram is peerless , and hecht macarthur have given him some gems macarthur , really he was the wit of the pair . br br the film is superbly lighted by the great lee garmes , but has little camera movement aside from a storm sequence . hecht and macarthutr cared about one thing getting their dialogue on screen . note hm themselves have blinkandyou'llmiss'em cameos as bums in the flophouse scene . br br the most notable supporting player is the one and only alexander woolcott , notorious broadway columnist and close friend of both macarthur and coward , who appears as one of the bitchy authors always kept waiting in the reception room of publisher coward . br br curious that woolcott would agree to do a film that clearly lampoons the legendary algonquin round table , of which he was a founder , and macarthur something of an auxiliary member . br br the scoundrel actually won an oscar for best story , though that victory is probably due more to coward's imposing presence than any brilliance in the plot . it's coward , woolcott , and the dialogue you remember . . .",1,0
"financially strapped paramount pulled out all the stops for this '34 stage adaptation entry big budget , large cast , extravagant production and mitch leisen tagged as the director . what happened ? two things busby berkeley didn't work for the outof focus rock and a murder mystery script that didn't deserve to be in the same trash can as the worst charlie chan first draft down the street . i have to believe that the cutting was out of leisen's hands since the great duke ellington's number is savagely chopped , but that doesn't mean that it ain't worth a look the 'sweet marihuana' number featuring topless chorus girls is a mind blower , considering the looming production code and it also has the ravishing toby wing whose unfortunately fed horrible lines and playing the prototype dumb blonde as a chorion hot for an otherwise preoccupied jack oakie . carl brisson's acting is bland as melba toast but he's a competent singer . maclaglen reaches for new plateaus as a stereotypical dumb detective . and try to spot lucy in the chorus . this rates a 7 . 0 as a curiosity . feb 2010 rethink i recently gave the film another look and now feel i was wrong to berate the lack of busby berkeley production numbers . i can understand leisen's argument for more realistic production numbers within the context of the plot . i still have enormous issues with the editing however . paramount , the raciest major studio in town , faced huge issues with the production code at the worst possible time in it's history , financially speaking , and pulled out all the stops on this one also check out 1934's search for beauty . a must see for precode buffs .",1,0
"the lead characters in this movie fall into two categories smart and stupid . simple enough . br br jiri machacek standa plays a hapless , dopey guy who gets arrested for a crime he did not commit . when he tries to get financially reimbursed by his evil , former boss , the situation gets out of control . br br while standa is genuinely but endearingly stupid , his buddy ondrej is an absolute blithering idiot who bungles everything and manages to say and do the wrong thing every time . without ondrej , standa might stand a chance of going through life with some modest degree of success . with ondrej , life will never be boring , but it sure won't be without a lot of headaches ! br br ivan trojan plays zdenek , an evil genius type who degenerates into some hitleresquire delusional tyrant . zdenek and his henchmen try to kill standa to keep zdenek's secrets safe . br br i am very impressed with the high quality and imagination of czech films . for a relatively small country , the czech republic certainly has produced more than its share of superb entertainment . the best czech movies i have seen are 1 peliky and 2 tmavomodr svet dark blue world . if you see these two movies , you have seen the absolute best of czech cinema .",1,0
