text,true,pred
"i see this movie as a poor tribute to the old slasher movies . because it really doesn't hold a candle to the 70's and 80's goldera of horror , this is of course where personal taste comes in . br br this movie just falls into the category of new generation of slashers in my book , the cast is the typical ones 1824 years and potential models . i'm personally quite tired of that image in horror movies , the old movies at least had some variation in people . one or more fat people , and dorks in general . just plain looking persons , of course having a couple of good lookers is fine they always been there . but when the entire cast is just a bunch of nice racks and butts it's getting silly . i mean , ok yeah i like to watch hot chicks . but not in a horror that is supposed to reflect some ordinary people getting hunted down by for example a knifewielding maniac . . . you expect the people being hunted to look something like any random person you see on the street . i think . there are of course a few movies with just good lookers that is perfectly alright , but they aren't many . wrong turn is one example of the better ones . br br next point is the killing scenes that slashers should be all about . in this poor movie , all you get to see is 23 frames of sudden high pitched soundscream and music in crescendo . and that's it . the little you do get to see isn't very graphical at all , not for people who have seen some horrors during the years . the oldschool slashers compared to this had much more and better death , blood and gore . not to mention the killers in those movies , who surpassed the one you'll get to see here . br br as for true horror fans it is more fun and exciting to watch horrors with new approaches because of the originalities that pops up , the killer in this one doesn't add anything new and fresh to the genre in my opinion . i have to agree with what someone previously stated as well , the cgi is something i hate to watch . personally i preffere the makeups in that sense i'm conservative , unless the cgi is really well done . but most importantly is to set a good setting of mood which allows you to get into the movie , a good background story is one very good thing . also revealing and explaining too much of everything in a movie to the viewers takes away all sense of mystic that adds very much of the mood , and doesn't give you much to think about . just as an example keeping the killers background a complete mystery for the viewer is a good move in many cases . i mean if everything about the story or the people in it has to be explained or shown in detail , then it's not much content left over for the viewer at all to ponder about . . . that's like watching a porno movie and hope for a great story in the meantime . br br why the oldschool slashers still works , at least for some people . is because they are established cult movies from the era when they were a new thing , making new ones of that sort today is admittedly hard . the exception might be for people who are newer to that sort of horrors of course . i have noticed that many people does like this sort of horror movies , so there are of course not a right taste for horror movies . br br but for people out there that might share my opinion ; here you have a frame of reference what to expect of this flick .",0,1
"despite being a huge fan of fred astaire and ginger rogers' movies , it wasn't until about 6 years ago that i first saw 'follow the fleet' . i knew all the songs from an old astairerogers record yes , vinyl but knew nothing of the plot . br br unfortunately , while the songs are catchy and ginger rogers' character is sweet and funny , you just can't like 'bake baker' . while trying to make up to his longtime partner , he continually sabotages her career . his character doesn't have the usual humour and elan of the other films' astaire characters . br br worth watching for the songs and a great solo tap routine by ginger rogers .",0,1
"i'm both amused and disgusted by the people who claim that this movie is so accurate about vietnam , and were never there . this movie is about as true about the whole vietnam war as the rodney king beating is true about all police officers . yes , bad things do and did happen , but in general the people there are just like you and me . they have morals , they are not killing machines , they do not all do drugs . atrocities were the exception in vietnam , not the rule . they happened far more infrequently than the hype would lead you believe . oliver stone has a knack for making movies that show the vietnam war as this brutal bloodbath , but are based as much in reality as star wars . if you honestly believe the stereotypes of vietnam , do yourself a favour and learn the truth . fact the viet cong and nva did far worse things to the south vietnamese than any soldier in the us armed forces ever did . fact the soldiers in world war ii treated the enemy far worse in general than the soldiers in vietnam did , and they were welcomed when they came home . the fine americans who served this country in vietnam deserve our respect ; though the war was badly fought from a political standpoint , no one could have asked for more from our soldiers , and it is a great disservice to assert that this kind of mostly true fiction is the way things really were there .",0,1
"cybrog 2glass shadow stars elias koteas as colton hicks rhymes with kicks ! a karate instructor who helps a cash jolie escape from pinwheel , her creators who look to detonate her and destroy a rival company . along the way billy drago and karen shepherd show up to displace the duo , while jack palance is there to deliver guidance to the duo on the run . one of the things that is quite shocking about the cyborg franchise , is how the series has managed to have quite prolific and off beat actors in the cast . the original had jeanclaude van damme and dayle haddon don't know her ? well she was in a bunch of 70's pornos this one has jack palance , elias koteas , billy drago and angelina jolie . the third one has william katt , zach galligan and malcom mcdowell . okay so , cyborg 3's cast isn't that impressive . i've never seen cyborg 3 , but i did see this on scifi channel and must admit i wasn't impressed . actually strike that , cyborg 2 is an often lovely looking movie , it's shot with excellent style and the visual detail make this easy on the eye . however cyborg 1 was the same way , indeed the movie was directed with a certain amount of style , slow motion and music that made it all easy on the eye . unfortunately like the first , this one doesn't have any new ideas or anything resembling a plot or texture . most of the ideas are taken from blade runner and max headroom , so for various reasons the movie doesn't have much to offer beyond it's look . another aspect is the terrible acting . karen shepherd and billy drago are absolutely terrible and angelina jolie isn't much better . elias koteas and jack palance come off fine but seriously palance is playing a cyborg warrior and koteas is a karate instructor . i guess on the positive side you can't accuse michael schroeder of not being ambitious with casting . still the movie is dull and i for one lost interest in the story fifteen minutes in . also why did they tie it in with cyborg anyway ? it has nothing to do with it's predecessor , which this manages to be worse than . br br out of 4bad",0,1
"writer director robert downey , sr . , a pioneer of the underground film movement in the 1960s , satirized the new york madison avenue advertising world with his avantgarde comedy putney swope . downey doesn't confine his ridicule to advertising , but tackles black militant culture , the dynamics in hollywood's portrayal of race , the elite white power structure , and character of corruption in any power struggle . as audacious and ambitious as putney swope strives to be , it qualifies as a terrible film , amateurishly made on a shoestring budget with a noname cast and humor that lacks hilarity . everything about this movie reeks with improvisation . putney swope stirred up controversy during its initial release with its politically incorrect handling of race issues and consumer culture . like most marx brothers movies , the plot is thin , providing an excuse for downey's anecdotal gags , most of which are terrible . br br the chairman of a prestigious madison avenue ad agency dies during a board meeting . before the body has been removed , the board holds a secret ballot vote to determine who will replace him . each member understands that they are forbidden to vote for himself . sheer accident occurs when everyone votes for the token black member , putney swope arnold johnson , since none thought anybody would cast a ballot for him . swope pink slips all but one of the white executives , surrounds himself with black , pistol packing employees , and renames the firm truth and soul advertising . swope decides to alter the face of american advertising . he refuses to accept clients whose products are alcohol , tobacco , or war toys . swope's clients stage an exodus after he becomes the ceo , and grandstanding attracts a new lineup of clients that show up at his office lugging bags of money and prepared to suffer abuse from swope's militant employees . swope exploits his africanamerican staff , too , ruthlessly appropriating their ideas after he fires them and conjures up a number of offensive advertising campaigns , all of which are hailed as a 'new wave' of marketing genius . incredibly , swope's conservatism proves successful but the agency becomes the target of government operatives who argue swope's advertising tactics constitute a threat to the national security . the high point of this black white , 85minute comedy are the television commercials shot in color . unfortunately , downey doesn't know when to cut off these ads that consistently start out cleverly but wear out their welcome . the funniest part of putney swope involves our eponymous protagonist's dealings with u . s . president mimeo in washington d . c . pepi hermine , a marihuanatoking midget with a kissingerlike teutonic adviser larry wolf spouting tasteless jokes while trying to convince swope to come up with an advertising campaign for his new car , the borman 6 .",0,1
"ok , let me again admit that i haven't seen any other merchant ivory the distributor films . nor have i seen more celebrated works by the director , so my capacity to discuss before the rains outside of analysis of the film itself is mitigated . with that admittance , let me begin . br br before the rains is a different kind of movie that doesn't know which genre it wants to be . at first , it pretends to be a romance . in most romances , the protagonist falls in love with a supporting character , is separated from the supporting character , and is sometimes united with his or her partner . this movie's hero has already won the heart of his lover but cannot be with her . his name is henry moores and her name is sajani , and they reside in southern india during the waning days of the raj british imperial rule . henry has been away from london for a long time and has fallen in love with his married indian maid , despite his legal marriage and child overseas . what could be better than that ? they often sneak away for intimate afternoons until some children notice them . word spreads to sajani's husband who questions her involvement with moores . she denies any contact with him , but moores asks her to leave the area . sajani refuses because of her devotion to him and commits suicide . please take note that these events occur in the opening third of the film . the film changes tone and becomes a crimedrama in its final portions . br br sajani's body is discovered right as moores' family comes to visit . the alleged perpetrator is moores's englisheducated assistant t . k . t . k . knows of his master's affair but keeps silent until his life becomes threatened . once he is declared innocent , he attempts to regain his honor by killing moores . t . k . is too squeamish and leaves him in a dirt path as the rains fall . br br i want to warn you , this isn't a romance film . the dvd cover and theatrical posters show an indian woman and caucasian man embracing in an idealized tropic setting . this image is captured directly from the film's opening , but quickly disappears . then it's over . it seems like an effort to capitalize on western fixation on forbidden love . it isn't effective , at all . not only is the movie not a romance , but its characters lack any personality . they are bundles of walking clichs . moores is an arrogant white man who doesn't recognize his indian friend , t . k . 's intelligence . t . k . is torn between his own heritage and his educative background . sajani is a woman incapable of having a choice in her romantic life . oh , and , of course , moores' family is inquisitive into sajani's death but still slightly racist to indians . if the tone wasn't so serious , i would be willing to overlook these problems , but it isn't . the film is presented with a didactic overtone which highlights its poor character development . br br no , this film isn't terrible . other than the laughable screenplay , it isn't poor . the actors are all experienced and perform well here . nandita das , who plays sajani , was part of wonderful indian drama water . even director sivan has an impressive resume . he recently oversaw the terrorist , which is part of roger ebert's great movies collection . what happened here ? why is this movie so bad ? well , sivan mentioned how he was inspired to direct this film because of a short he viewed in israel called red roofs . apparently , the story was timeless , and sivan sought to create a similar experience set in 1930's india . i don't have any problem with that approach , but i think sivan may have been too motivated this time . the actors , cinematography , and set design are acceptable but unless you share sivan's aura , you'll probably not enjoy it . my recommendation is that you presume you aren't in accordance with him and watch something else . final consensus and out of",0,1
"i'm not a big fan of romcoms at the best of times . a few have been quite good check of dream for an insomniac , but this one is just more of the same but less . br br with a running time of 100min , i expect more than 1 laugh every 30mins . the only real belly laugh are when male strangers and friends instinctively help out lee's character . br br all i can say is avoid . i guarantee there is at least 10 other movies on the shelf that deserve you br br 3 of out 10 and only cos i'm a big lee fan",0,1
"i watched this movie recently together with my sister who likes the performances of sophia loren . i'm a person who they call a cultural barbarian . i hate art in any kind of shape or form . rambo is more my kind of movie , action , kills , blood , horror . if you recognize yourself in this avoid this movie like the plague . no one dies , no action , no nudity , nothing of the kind . let me give you a rsum in a few sentences . it starts out with 5 minutes in black and white nazi propaganda . every italian in a housing block attends a parade in honor of hitler , except for a housewife , an anti fascist and a caretaker . the housewife who is cheated by her husband , meets the anti fascist . she falls in love with him , wants to make love to him , but the anti fascist is gay . despite of this they make love with each other . at the end of the day , the housewife reads a book from her gay lover , and the guy himself is deported by agents . the end . you want an even shorter rsum ? boring . . . that short enough ? the guy should have used his gun in the beginning of this movie and shoot himself , to save the audience from this atrocity . on a side note my sister loved this movie . like i said , i'm a cultural barbarian . . .",0,1
"black vengeance is an alternate title for ying hung ho hon aka tragic hero 1987 . i have just seen this on vhs , together with the first part of the story , gong woo ching rich and famous , also 1987 . the poster and 2 stills featured on the page are for a 4dvd set of movies starring rod perry the black gestapo , fred williamson black cobra 2 , richard lawson black fist . the fourth movie is called the black six . strangely , while the characters retain their original names in rich and famous , in black vengeance chow yunfat's character is named eddie shaw , alex man man tze leung is harry , and andy lau is called johnny . also confusing is the fact that 1994 is given as the copyright dates on both films . perhaps that was the year they were americandubbed . according to the release dates given on imdb tragic hero was released before rich and famous . was there any reason for releasing the sequel first ? despite some users' comments , i enjoyed these films , although they aren't among cyf's best such as the killer and hardboiled which are truly astonishing . however , if one day i come across a 2dvd set of rich and famous and tragic hero i won't hesitate to buy it . hopefully , these comments about black vengeance clear up , which was also for me , a mystery as to where it belonged in chow yunfat's filmography .",0,1
"this is among one of many usa attempts of remaking a old classic british tv show , that's more famous than this one . from what i see none of you haven't mentioned or even acknowledged that you knew there was a tv 50's60's called secret agent man the original secret agent man starred the great patrick mcgoohan the prisoner , braveheart , ice station zebra , the phantom , etc a man who was tapped to be the first james bond , but he turned it down because mcgoohan was a very devout man and he considered james bond's bed hopping and violent ways to be against his values . br br this show was done in black and white , and it's a pity for those who haven't seen it , you are missing out on a lot . the character mr . mcgoohan played in secret agent man was named drake , and after he finished with that show he went on to the do the very popular though at times bizarre and controversial tv series called the prisoner . the character he played in the prisoner was that of a agent who's identity is not revealed is kidnapped and transported to a island where he does not know where he is or who it was that is responsible for kidnapping him . what he does know is that his captors want to know the reasons behind his resignation from the british secret service , and on this island the populace don't have names but they are referred to by numbers and patricks character is assigned a number which is 6 it was argued that his prisoner character was in fact the same character he played in secret agent man but mcgoohan himself disputed this . br br ofourse there is the unmistakable famous theme song that the original secret agent man spawned . it was written by johnny rivers a famous 50's and 60's pop musician and from what i read some of you are actually think that the song comes from this version of the show . you're very wrong about that . it was johnny's and it comes from the original tv series so let me help to set the facts straight . to those of you who complained about the name of the show being stupid , well in england , it was actually called danger man and in the us it was retitled secret agent man for such a supposedly stupid name the show did well enough when it was first aired . br br granted this current show has little to do with the original , no such main character named drake in this one , and i guess they did their best to make this show their version of secret agent man . but it does use the redone version of the original theme song so that does tell you that this show was indeed meant to be a redone albeit however inferior redone version of the original series .",0,1
