text,true,pred
"la lupa mannara aka . werewolf woman of 1976 is a film with a highly promising title , but , sadly , the film itself is pretty far away from being a mustsee for my fellow italian horror buffs . you won't hear me say that rino di silvestri's film is entirely bad it has its stylish moments , and the first half is actually great fun to watch though the fun is unintentional . the film also profits from an exceptionally exhibitionist leading actress , annik borel . however , the film , which has no real plot at least no linear one often makes no sense at all , and it drags incredibly throughout the mostly superfluous second half . br br daniella annik borel has strange dreams about a dancing around naked in the night before turning into a werewolf woman . since she was a raped as a girl , daniella is afraid of men . then , when her sister cult siren dagmar lassander comes to visit with her husband , daniella suddenly feels attracted to the husband and subsequently turns into a werewolf woman herself . . . or something . the storyline really doesn't make the slightest sense , which makes the film a lot of fun to watch throughout the first half . the leading character daniella is some schizophrenic mixture of frigid hysteric and lusty nymphomaniac , who occasionally turns into a werewolf woman . director di silvestri chose to make up for the plotholes with a lot of of female nudity , which works fine for me . there are also some pretty welldone gore moments . the film is never even slightly suspenseful or creepy , but it is very entertaining in the beginning . also , there are no attempts to hide that this is a slice of sleaze , the camera often does closeups on the miss borel's private parts for the simple heck of it . i'm not complaining . then , for some reason , di silvestri chose to make the film longer by completely changing the direction in which it was going . while daniella is , at first , a typical werewolf , who cannot help but follow the urges of her curse , this suddenly changes when she meets a guy howard ross , who was in fernando di leo's il boss of 1973 . suddenly , she goes back to normal again , and the subsequent part of the film does not at all go in hand with the first half . it gets pretty damn boring after a while ; all things considered , it probably would have been better for this 99 minute film to be only 70 minutes long . at the end , they even want to make us believe that the absurd story if one can call it that is based on true events . werewolf woman has some redeeming qualities ; my fellow italohorror fans can give it a try . however , if you wanna watch italian horrorexploitation cinema from the 70s , there are hundreds of films that you should see before seeing this one .",0,1
"i see this movie as a poor tribute to the old slasher movies . because it really doesn't hold a candle to the 70's and 80's goldera of horror , this is of course where personal taste comes in . br br this movie just falls into the category of new generation of slashers in my book , the cast is the typical ones 1824 years and potential models . i'm personally quite tired of that image in horror movies , the old movies at least had some variation in people . one or more fat people , and dorks in general . just plain looking persons , of course having a couple of good lookers is fine they always been there . but when the entire cast is just a bunch of nice racks and butts it's getting silly . i mean , ok yeah i like to watch hot chicks . but not in a horror that is supposed to reflect some ordinary people getting hunted down by for example a knifewielding maniac . . . you expect the people being hunted to look something like any random person you see on the street . i think . there are of course a few movies with just good lookers that is perfectly alright , but they aren't many . wrong turn is one example of the better ones . br br next point is the killing scenes that slashers should be all about . in this poor movie , all you get to see is 23 frames of sudden high pitched soundscream and music in crescendo . and that's it . the little you do get to see isn't very graphical at all , not for people who have seen some horrors during the years . the oldschool slashers compared to this had much more and better death , blood and gore . not to mention the killers in those movies , who surpassed the one you'll get to see here . br br as for true horror fans it is more fun and exciting to watch horrors with new approaches because of the originalities that pops up , the killer in this one doesn't add anything new and fresh to the genre in my opinion . i have to agree with what someone previously stated as well , the cgi is something i hate to watch . personally i preffere the makeups in that sense i'm conservative , unless the cgi is really well done . but most importantly is to set a good setting of mood which allows you to get into the movie , a good background story is one very good thing . also revealing and explaining too much of everything in a movie to the viewers takes away all sense of mystic that adds very much of the mood , and doesn't give you much to think about . just as an example keeping the killers background a complete mystery for the viewer is a good move in many cases . i mean if everything about the story or the people in it has to be explained or shown in detail , then it's not much content left over for the viewer at all to ponder about . . . that's like watching a porno movie and hope for a great story in the meantime . br br why the oldschool slashers still works , at least for some people . is because they are established cult movies from the era when they were a new thing , making new ones of that sort today is admittedly hard . the exception might be for people who are newer to that sort of horrors of course . i have noticed that many people does like this sort of horror movies , so there are of course not a right taste for horror movies . br br but for people out there that might share my opinion ; here you have a frame of reference what to expect of this flick .",0,1
"when the film started i got the feeling this was going to be something special . the acting and camera work were undoubtedly good . i also liked the characters and could have grown to empathise with them . the film had a good atmosphere and there was a hint of fantasy . br br however , as the film went on , the plot never appeared to takeoff and just rolled on scene by scene . i was unable to understand the connection between the stories . all i could see was the characters occasionally bumping into each other and references to ships in bottles . without that connection , i was just left with a few unremarkable short stories . br br am surprised it did so well at cannes",0,1
"despite being a huge fan of fred astaire and ginger rogers' movies , it wasn't until about 6 years ago that i first saw 'follow the fleet' . i knew all the songs from an old astairerogers record yes , vinyl but knew nothing of the plot . br br unfortunately , while the songs are catchy and ginger rogers' character is sweet and funny , you just can't like 'bake baker' . while trying to make up to his longtime partner , he continually sabotages her career . his character doesn't have the usual humour and elan of the other films' astaire characters . br br worth watching for the songs and a great solo tap routine by ginger rogers .",0,1
"in addition to his tarzan series , the prolific edgar rice burroughs did write many other books , although , aside from the popular at the earth's core , few of these have been filmed . one exception is the novel entitled the lad and the lion , brought to the screen as the lion man 1936 , an overtalkative , static , oldhat , slowmoving and rather dull movie , despite being filmed on real desert locations . actually movie is the wrong word . the narrative doesn't move but proceeds at a snail's pace in an abrupt series of jerks . for instance , at least five characters are given elaborate opening scenes and then just disappear . even more frustrating for the keen movie fan , are the characters who make an impression of sorts like the lass who plies hall with drugged wine but are enacted by players who are not credited ! the credited thespians generally come off worse than the unknowns . one exception is australian actress finis barton who gives a good account of the kidnapped harem girl who rescues young master fairy . admittedly , most of the cast are saddled with atrocious king james dialogue which has to be heard to be believed ! but the way to play this rubbish is tongueincheek , a stratagem which does not seem to have occurred to a single one of the film's roster of notalent players . maybe director j . p . mccarthy scotched that idea . anyway , it's sad to see the lovely kathleen burke forced to trade lines with the likes of richard carlyle her dad and jon hall her suitor . admittedly , mr hall delivers his lines with marginally more conviction than mr carlyle , but that is no recommendation .",0,1
"ok , let me again admit that i haven't seen any other merchant ivory the distributor films . nor have i seen more celebrated works by the director , so my capacity to discuss before the rains outside of analysis of the film itself is mitigated . with that admittance , let me begin . br br before the rains is a different kind of movie that doesn't know which genre it wants to be . at first , it pretends to be a romance . in most romances , the protagonist falls in love with a supporting character , is separated from the supporting character , and is sometimes united with his or her partner . this movie's hero has already won the heart of his lover but cannot be with her . his name is henry moores and her name is sajani , and they reside in southern india during the waning days of the raj british imperial rule . henry has been away from london for a long time and has fallen in love with his married indian maid , despite his legal marriage and child overseas . what could be better than that ? they often sneak away for intimate afternoons until some children notice them . word spreads to sajani's husband who questions her involvement with moores . she denies any contact with him , but moores asks her to leave the area . sajani refuses because of her devotion to him and commits suicide . please take note that these events occur in the opening third of the film . the film changes tone and becomes a crimedrama in its final portions . br br sajani's body is discovered right as moores' family comes to visit . the alleged perpetrator is moores's englisheducated assistant t . k . t . k . knows of his master's affair but keeps silent until his life becomes threatened . once he is declared innocent , he attempts to regain his honor by killing moores . t . k . is too squeamish and leaves him in a dirt path as the rains fall . br br i want to warn you , this isn't a romance film . the dvd cover and theatrical posters show an indian woman and caucasian man embracing in an idealized tropic setting . this image is captured directly from the film's opening , but quickly disappears . then it's over . it seems like an effort to capitalize on western fixation on forbidden love . it isn't effective , at all . not only is the movie not a romance , but its characters lack any personality . they are bundles of walking clichs . moores is an arrogant white man who doesn't recognize his indian friend , t . k . 's intelligence . t . k . is torn between his own heritage and his educative background . sajani is a woman incapable of having a choice in her romantic life . oh , and , of course , moores' family is inquisitive into sajani's death but still slightly racist to indians . if the tone wasn't so serious , i would be willing to overlook these problems , but it isn't . the film is presented with a didactic overtone which highlights its poor character development . br br no , this film isn't terrible . other than the laughable screenplay , it isn't poor . the actors are all experienced and perform well here . nandita das , who plays sajani , was part of wonderful indian drama water . even director sivan has an impressive resume . he recently oversaw the terrorist , which is part of roger ebert's great movies collection . what happened here ? why is this movie so bad ? well , sivan mentioned how he was inspired to direct this film because of a short he viewed in israel called red roofs . apparently , the story was timeless , and sivan sought to create a similar experience set in 1930's india . i don't have any problem with that approach , but i think sivan may have been too motivated this time . the actors , cinematography , and set design are acceptable but unless you share sivan's aura , you'll probably not enjoy it . my recommendation is that you presume you aren't in accordance with him and watch something else . final consensus and out of",0,1
"i'm not a big fan of romcoms at the best of times . a few have been quite good check of dream for an insomniac , but this one is just more of the same but less . br br with a running time of 100min , i expect more than 1 laugh every 30mins . the only real belly laugh are when male strangers and friends instinctively help out lee's character . br br all i can say is avoid . i guarantee there is at least 10 other movies on the shelf that deserve you br br 3 of out 10 and only cos i'm a big lee fan",0,1
"when i finally got around to seeing this film recently , it turned out to be exactly what it looked like to me at first glance . . . yet another hollywood cgliveaction rehash of an established cartoon franchise . nothing special or memorable whatsoever . designed in every way possible to appeal to very young children and very immature adults , making heavy use of comedic devices such as farts , pooeating , and the size of theodore's butt . br br this film would bother me a lot less if it weren't such an obvious step down for the chipmunks . even their characters i found were changed for the worse for this movie . while in the past each one of them had a very distinct personality , here they all behaved like immature , smartalecky children with add , constantly bouncing erratically off the walls . it especially bothered me to see simon portrayed in this way . . . he's supposed to be the smart , serious nerd who acts as the straight man to alvin's crazy antics . but here he's pretty much a carbon copy of alvin . one joke in the film even implies that simon only thinks he's smart but really isn't . . . and honestly if i had never heard of the chipmunks before seeing this film , i would have agreed . br br in my opinion , this film is just another obvious cashgrab , and i'm more than a little sorry it was even made . the fact that it's a kid's movie doesn't excuse its flaws . . . to excuse a stupid movie that degrades a classic franchise just because it's for children is insulting to children , and any kid would deserve something more intelligent than this film .",0,1
"i had to walk out on this film fifteen minutes from the end . . . having passed through the cringe stage and into pure boredom . what really horrifies me , i mean truly disturbs me , is that there are people referring to this aimless drivel as 'delightful' or a 'must see . ' i would feel deep pity for those so afflicted were it not for the distinct impression that most of the positive comments about this shallow and humourless travesty were written by industry plants . br br the truth is this is a lame film that does nothing to entertain nor enlighten . it is decidedly unfunny , poorly scripted and has all the pace and energy of cold , canned rice pudding . to be kind to ms kramer , the best one can say is it was a missed opportunity , for having read the synopsis before i watched it , i had expected something more challenging . the possible misinterpretations of a close brother and sister codependence , the unexpected awakening of 'sisterly' sexuality , and the comic potential in such sibling rivalry for the affections of the same girl were all obvious subjects for refreshing comedic exploration , yet which at every turn the movie frustratingly shies away from . br br instead , the audience is subjected to a meandering series of uninspired and insipidly drawn situations , with clichd characterisations and dull performances from a cast struggling for belief and obviously in need of much tighter direction . the lack of directorial control seems astounding ; on the one hand , moynahan , cavanagh and spacek all give very pedestrian performances , while heather graham and molly shannon the latter in particular veer towards embarrassing overcompensation at times . one could lay the blame for this on the director maybe sue kramer hopes that if her actors overact , they will force a bigger laugh from the audience . but then again , the cast is a veteran one ; one would expect them to do better . br br sue kramer really needs to think carefully what kind of movies she wants to make , and for whom . given the possible issues gray matters alludes to , and given her inability or unwillingness to fully explore them in the context of a comedy , perhaps she should consider writing dramas instead . i know it is never easy to make films about women and women's issues , especially when one hopes to reach a wider audience than women alone , but whatever direction she takes , inconsequential and flimsy characters like gray are not going to cut mustard .",0,1
"the wife and i saw a preview of this movie while watching another dvd and thought jon heder , diane keaton , jeff daniels and eli wallach , it's gotta be better than summer reruns , so i ordered it from local library . well , any episode of lawrence welk would bring more laughs than mama's boy . i actually felt sorry for the actors for having to read the script in the privacy of their own homes and i couldn't imagine what it must have been like for them to have to actually say their lines in front of a camera . perhaps , at least , maybe next time they're offered a movie of this sort , they'll just say no ! ' a one anna two . . . .",0,1
