text,true,pred
"when the film started i got the feeling this was going to be something special . the acting and camera work were undoubtedly good . i also liked the characters and could have grown to empathise with them . the film had a good atmosphere and there was a hint of fantasy . br br however , as the film went on , the plot never appeared to takeoff and just rolled on scene by scene . i was unable to understand the connection between the stories . all i could see was the characters occasionally bumping into each other and references to ships in bottles . without that connection , i was just left with a few unremarkable short stories . br br am surprised it did so well at cannes",0,1
"'a new generation' is the third amityville entry to base its plot around writer john g . jones's premise of an item taken from the long island house that causes spectral misery and death for its new owners . first a lamp , then a clock , and now a mirror . however , this is also the first amityville since 'the possession' to directly tie in to the real life events that started the whole series . this time around , keyes terry robert partridge , an artist , is given a macabrelooking mirror by a homeless man one day . soon enough , people around him start to die , eventually leading to his discovery that the mirror once hung in the amityville house indeed on the very night a man named franklin bronner sonny montelli in 'amityville ii' murdered his entire family . unfortunately for terry , his discovery of the mirror isn't entirely coincidental , and he soon learns the truth about his past a truth he's kept buried since childhood . br br this 7th installment in the often wornout franchise is something of a disappointment for me . things were starting to pick up with the silly and uneven , yet entertaining 'it's about time' , and given how much this film tries to draw upon its roots not the first episode , but the source material itself it should have been better than it was . br br however , three trips to the same well with yet another evil artifact from the amityville house with yet another explanation for the malign paranormal visitations is wearing on me , to say the least . one of the biggest weaknesses of the amityville franchise is the steadfast determination by each set of producers to completely ignore every other episode in the series . on the one hand , it's perfectly reasonable that they don't want to be tied to someone else's continuity , but at the very least , they could maybe acknowledge story lines that have already been done and just possibly not repeat them over and over again . br br there's also something rather plodding about the way in which the story unfolds , doubtless due to the inevitability this repetitionfest brings . since you already know what's going to happen , the carefullypaced buildup is simply slow and tedious . or maybe it's just tedious anyway . director john murlowski probably could have done more to heighten the tense atmosphere associated with the mirror rather than simply having it flash red and emit chattering 'evil' voices , which lacks any kind of subtlety . there were times when characters seemed fairly unfazed by its otherworldly qualities . if they don't take it too seriously , why should we ? br br which is a shame , because 'a new generation' has a morethancapable cast . i was going to hold off on watching this until i saw the name 'julia nickson' in the credits . she captivated my attention just as she always does , and if anything , i was annoyed her part wasn't more extensive . terry o'quinn was equally charismatic and again , underused . partridge himself in the lead role clearly fits the early 90s overcoiffed lumberjackshirted squarejawed hero type , and while i'm not sure he really gave it the gravitas needed , it's not as if anyone here is performing ibsen . br br the sets are also worthy of note , from the dramatic artwork filling suki's room , to the claustrophobic corridors featured in flashbacksupernatural sequences . getting the look of these right is especially important given how certain sequences are repeated throughout the film to simulated fragmented memories . clearly , murlowski is more of a visual director rather than either an actor's director or one of horror . unfortunately , it is meant to be a horror film , after all . br br 'a new generation' sees the same race being run for the third time in 4 years . add to this the lack of direction where it was really needed and the whole effort fails to stand as tall as it should . however , it should be acknowledged for its strong ties with the source material and some good actors in not necessarily their finest hours . honestly , the ideal person for this is someone who hasn't seen any of the sequels past 'the possession' , for whom the story won't be such a massive dejavu trip .",0,1
"despite being a huge fan of fred astaire and ginger rogers' movies , it wasn't until about 6 years ago that i first saw 'follow the fleet' . i knew all the songs from an old astairerogers record yes , vinyl but knew nothing of the plot . br br unfortunately , while the songs are catchy and ginger rogers' character is sweet and funny , you just can't like 'bake baker' . while trying to make up to his longtime partner , he continually sabotages her career . his character doesn't have the usual humour and elan of the other films' astaire characters . br br worth watching for the songs and a great solo tap routine by ginger rogers .",0,1
"i'm both amused and disgusted by the people who claim that this movie is so accurate about vietnam , and were never there . this movie is about as true about the whole vietnam war as the rodney king beating is true about all police officers . yes , bad things do and did happen , but in general the people there are just like you and me . they have morals , they are not killing machines , they do not all do drugs . atrocities were the exception in vietnam , not the rule . they happened far more infrequently than the hype would lead you believe . oliver stone has a knack for making movies that show the vietnam war as this brutal bloodbath , but are based as much in reality as star wars . if you honestly believe the stereotypes of vietnam , do yourself a favour and learn the truth . fact the viet cong and nva did far worse things to the south vietnamese than any soldier in the us armed forces ever did . fact the soldiers in world war ii treated the enemy far worse in general than the soldiers in vietnam did , and they were welcomed when they came home . the fine americans who served this country in vietnam deserve our respect ; though the war was badly fought from a political standpoint , no one could have asked for more from our soldiers , and it is a great disservice to assert that this kind of mostly true fiction is the way things really were there .",0,1
"the main problem with 9th company 9 rota is that it is not sure whether it wants to be saving private ryan or full metal jacket . the attempts at spielberg sentimentalism are embarrassing , such as the burley sergeant crying in a field of red flowers ! ! ! the training sequences have none of intensity or realism that kubrick gave them in his masterpiece . br br a further bone of contention is that the afghan fighters are called ghosts because they strike and are hardly ever seen . here they attack a russian strong hold almost in formation with no attempt to use cover . i am sure tactics have move on since waterloo . br br every scene in this film has been seen before in other war movies and done considerably better . br br i have to ask why do all talented marksmen need to chew on a match ? br br finally , i am always suspicious of a film that starts with no narration yet needs to qualify the end . br br we won ! . . . errrr . . . . . . . no you didn't .",0,1
"ok , let me again admit that i haven't seen any other merchant ivory the distributor films . nor have i seen more celebrated works by the director , so my capacity to discuss before the rains outside of analysis of the film itself is mitigated . with that admittance , let me begin . br br before the rains is a different kind of movie that doesn't know which genre it wants to be . at first , it pretends to be a romance . in most romances , the protagonist falls in love with a supporting character , is separated from the supporting character , and is sometimes united with his or her partner . this movie's hero has already won the heart of his lover but cannot be with her . his name is henry moores and her name is sajani , and they reside in southern india during the waning days of the raj british imperial rule . henry has been away from london for a long time and has fallen in love with his married indian maid , despite his legal marriage and child overseas . what could be better than that ? they often sneak away for intimate afternoons until some children notice them . word spreads to sajani's husband who questions her involvement with moores . she denies any contact with him , but moores asks her to leave the area . sajani refuses because of her devotion to him and commits suicide . please take note that these events occur in the opening third of the film . the film changes tone and becomes a crimedrama in its final portions . br br sajani's body is discovered right as moores' family comes to visit . the alleged perpetrator is moores's englisheducated assistant t . k . t . k . knows of his master's affair but keeps silent until his life becomes threatened . once he is declared innocent , he attempts to regain his honor by killing moores . t . k . is too squeamish and leaves him in a dirt path as the rains fall . br br i want to warn you , this isn't a romance film . the dvd cover and theatrical posters show an indian woman and caucasian man embracing in an idealized tropic setting . this image is captured directly from the film's opening , but quickly disappears . then it's over . it seems like an effort to capitalize on western fixation on forbidden love . it isn't effective , at all . not only is the movie not a romance , but its characters lack any personality . they are bundles of walking clichs . moores is an arrogant white man who doesn't recognize his indian friend , t . k . 's intelligence . t . k . is torn between his own heritage and his educative background . sajani is a woman incapable of having a choice in her romantic life . oh , and , of course , moores' family is inquisitive into sajani's death but still slightly racist to indians . if the tone wasn't so serious , i would be willing to overlook these problems , but it isn't . the film is presented with a didactic overtone which highlights its poor character development . br br no , this film isn't terrible . other than the laughable screenplay , it isn't poor . the actors are all experienced and perform well here . nandita das , who plays sajani , was part of wonderful indian drama water . even director sivan has an impressive resume . he recently oversaw the terrorist , which is part of roger ebert's great movies collection . what happened here ? why is this movie so bad ? well , sivan mentioned how he was inspired to direct this film because of a short he viewed in israel called red roofs . apparently , the story was timeless , and sivan sought to create a similar experience set in 1930's india . i don't have any problem with that approach , but i think sivan may have been too motivated this time . the actors , cinematography , and set design are acceptable but unless you share sivan's aura , you'll probably not enjoy it . my recommendation is that you presume you aren't in accordance with him and watch something else . final consensus and out of",0,1
"i'm not a big fan of romcoms at the best of times . a few have been quite good check of dream for an insomniac , but this one is just more of the same but less . br br with a running time of 100min , i expect more than 1 laugh every 30mins . the only real belly laugh are when male strangers and friends instinctively help out lee's character . br br all i can say is avoid . i guarantee there is at least 10 other movies on the shelf that deserve you br br 3 of out 10 and only cos i'm a big lee fan",0,1
"fiveyearold michael sees his mother getting axed to death by his serial killer father the highwayman , who later commits suicide . 20 years later grown mike gordon currie , from puppet master 4 and 5 invites seven of his friends to his secluded grandparents home to master their own fears at a halloween night costume party . morty , a lifesize wooden doll kept in the attic by the indian handyman , becomes possessed by the dead father's spirit and kills them off using their phobias . characters are thrown out a window , drowned in a toilet , eaten by rats , blown up , etc . morty morphs into the dad and a tree , walks around and makes stupid wisecracks . after finding a girl chopped up and stuffed in a cardboard box , the characters remain in the house , act cheerful , crack jokes and have sex . br br the morty design is good and betsy palmer mrs . voorhees from the original friday the 13th is surprisingly delightful as the grandmother , but this thing is even more senseless and confusing than the original and is full of false scares , bad acting , braindead characters , repeat flashback footage and annoying distorted camerawork . plus the only two minority characters the indian and a halfblack girl are the first to die . blah !",0,1
protocol is an implausible movie whose only saving grace is that it stars goldie hawn along with a good cast of supporting actors . the story revolves around a ditzy cocktail waitress who becomes famous after inadvertently saving the life of an arab dignitary . the story goes downhill halfway through the movie and goldie's charm just doesn't save this movie . unless you are a goldie hawn fan don't go out of your way to see this film .,0,1
"i was excited to hear that someone had made a documentary on what it was like to be puerto rican . when i heard it was rosie perez , i wondered . . could she possibly know what it is really like to be puerto rican . as far as i knew . . . . she was a nuyorican . well anyway , i anxiously sat with my popcorn to watch . i realized 10 min into it that my initial apprehension was right . rosie perez has little knowledge about what it is like to be puerto rican . this documentary is more a 1st hand , very very personal account on what it is like to be a nuyorican . . and all of what that entails . she like most of the nuyoricans i know have a watered down , partial and sometimes twisted sense of history . how could they not . . they live here . yes , all of them are proud . as they should be ! but a lot don't know the ins and outs of the real culture , history and political background or language for the most part . it all became very very apparent with her participation in the vieques issue . regardless of my personal take is on this issue . . at least i know what the hell the fight is for . there is she is getting arrested for something she knew little about . . and only participated in because it was a puerto rican cause i really don't understand how she is not embarrassed to admit to it . for those of you that are not puerto rican , please view this as a partial account of a woman's journey of self discovery and acceptance . do not take this as gospel . . . a lot of it isn't even true . please consider the source . rosie is an actress ; not a historian . this movie is not and should never be , for other nuyoricans , the base for their information . instead , just a step towards finding more info , learning and debating what the reality is . not just the one coming from this woman's eyes .",0,1
