text,true,pred
"tourist trap is a genuinely spooky lowbudget horror film that will surely satisfy horror fans . it contains extremely strange atmosphere and there are some quite unnerving moments of total dread and fear . some scenes are downright bizarre for example there is one scene when chuck connors sits down to have dinner with a mannequin that comes to life and starts conversing with him before its head falls off . there is very little gore , but the violence is quite strong for pgrated horror film . the mannequins look very sinister and the climax is horrifying . david schmoeller returned to make several other genre films including crawlspace , puppet master and netherworld . still tourist trap is definitely his best horror film , so if you want to be scared give this little gem a look . 9 out of 10 .",1,0
"the movie takes place during the year 1940 and the french are about to loose the war . br br the movie includes all genres comedy , romantic , murder and history . it is probable the historical part may be not as probable as the rest . br br it is not , however , a big laugh movie but the occasional large smile !",1,0
"made the same year as the first lumiere films , this is a much more dramatic short than the brothers attempted until the following year's 'niagara' . the surviving print is very rough , but this only adds to the turneresque visual violence , as huge surges of water dash against a stolid pier , and seem ready to engulf the camera , the viewer . br br if you watch a number of these early shorts in chronological order , and try to get into the mindset of the times , there is a further shock in that , unlike the single frame setups of the lumieres , this film features an edit , which for me at any rate , was as slashing as the razor blade in 'un chien andoulu . br br unlike the monovision of the lumieres' films , paul opens up the possibility of multiple perspectives , freeing the viewer from the power of nature , eluding its grasp in a way the lumieres never could . the second shot features a similar gush to that of niagara , but is less frightening because , by way of the edit , we have sidestepped the danger . in a film like 'l'arroseur arrosse' or 'repas du bebe' , nature stands indifferent and powerful , uncontainable by the camera . basic film grammar puts an end to its supremacy .",1,0
"this film shows a serious side to the often thought of as gorefest works of fulci . not a lot of blood and guts here , but a fine tale about murder and the lives affected by it . br br a real find , considering it was made in 1972 and will soon celebrate its 30th anniversary . br br check this one out , but be warned it is hard to find ! br br ron",1,0
"i am shocked . shocked and dismayed that the 428 of you imdb users who voted before me have not given this film a rating of higher than 7 . 7 ? ! ? ? that's a c ! . if i could give fobh a 20 , i'd gladly do it . this film ranks high atop the pantheon of modern comedy , alongside half baked and mallrats , as one of the most hilarious films of all time . if you know anything about rap music you must see this ! ! if you know nothing about rap music learn something ! , and then see this ! comparisons to 'spinal tap' fail to appreciate the inspired genius of this unique film . if you liked bob roberts , you'll love this . watch it and vote it a 10 !",1,0
"well , well . . . . roeg touched a bit of a nerve there , didn't he ? he was a genius while he was cataloguing his various characters' descents into psychosis for a couple of decades , but as soon as he has the bad taste to suggest that redemption or even some good advice might be found in the bad old catholic church , the hipperthanthou alternative movie crowd gets extra vicious . worse still , theresa russell's character faced with experiences that nothing in her avowedly rationalist outlook has an explanation for , is unwillingly forced to deal with those experiences on another level that of the spiritual . you know , the realm of the ignorant and superstitious , the sort of thing that the arthouse cinephiles are supposed to be above . oh , the horror . . . so she finds her marriage the idea that it might be a uniquely important commitment affirmed by what seems uncomfortably like divine intervention . people who find this idea prima facie offensive could maybe ask themselves why they instinctively jump into attack mode at being challenged to take seriously the idea of a spiritual dimension to their lives . but they probably won't . sure , this film has some problems , notably talia shire's delirious hamwork as the overwrought nun , 1950sstyle attire and all . and the dialogue between marie davenport and the young priest in their last scene is straight out of the spellbound school of glib interpretations though hitchcock's movie escaped similar charges due to the source of wisdom having impeccably secular credentials as a freudian psychoanalyst . but , sadly , nicolas roeg appears to have copped a critical mauling as much for even asking the question as for the possible answers this film presents .",1,0
"i sought this film out because i'm a new frain fan and wanted to see more of his work . first of all , his irish accent is great . he's got a keen ear for dialects , it seems . his acting was marvelous , as usual . james frain aside , i thought the film was very well done . it showed the conflict in northern ireland as the mess it really is . both sides are guilty of grave injustices , and the men drawn into the conflict usually have very little to say about their circumstances . br br also , it is interesting to realise that not every man or woman that is supposedly fighting for his country , is really doing just that . for example , when kenny james frain asks ginger ian hart why he does it , ginger can't come up with a morally acceptable answer . why ? because ginger isn't in it for the noble cause of protecting his country or the rights of his fellow protestants . . . ginger is in it for the fun of killing . he's full of bloodlust and it's the perfect job for a guy like him . in a struggle like this there are guys like liam john lynch who just want to live their daily lives and enjoy their families . . . guys that see all of the fighting just begats more fighting . there are guys like kenny that are born leaders full of charisma , and they add fuel to the flames , rather they mean to or not . also , kenny genuinely believes in the cause . he believes what he is doing will make a difference in the future . . . which is a bit odd 'cause his character seems too intelligent for it all . but , like a lot of other seemingly intelligent men , he is sucked into a gang lifestyle not even realizing it . . . 'til it's too late . then there is ginger , a pure psycho who isn't in the fighting for any other reason but for the sheer thrill of it , which in a gangland type war makes him a valued asset , some might argue . however , now , in this film , ginger has out lasted his worth , and has become a very dangerous loose cannon . br br everything comes to a boiling point , and predictably , the ending is a tragic one . what makes this film worthy is that is shows both sides of this ages old conflict . being american , i can't begin to fully understand what all struggle is about . but , i do know there has to be a better way . br br all in all , a well acted , touching . . . but troubling film .",1,0
"i'm not here to tell you armored is kubrickian , hitchcockian or felliniesquire . nope . referenced directors are more like don siegel charlie varrick and walter hill the warriors . those two helmers didn't fool around with niceties like putting women in their movies . no skirts need apply . they unapologetically made guy movies . guns , lots of guns . men met violent death with a twitch of the jaw . their movies were like a sap to the head . you want a friend ? get a dog . br br armored is so a guy movie . dueling armored trucks ? bloody gunshot wounds ? exploding money ? if that doesn't get the lizard part of your brain excited , then stay away . br br at 88 minutes , armored is all muscle without an ounce of fat . we meet six security guards who drive armored trucks , three per truck . the six , led by matt dillon , scheme up a fake hijack involving two trucks . their mission one day is to deliver 42 million from the federal reserve i think . the idea is to drive both trucks to a warehouse , stash the cash , then stage a hijack . sure , the cops will suspect them , but if they stick together they'll get through it . br br trouble is , one of the six , played by columbus short , is a holdout . at first . but he faces eviction . and he's the guardian for his messed up younger brother . he needs cash bad . br br matt dillon cajoles , pleads , persuades the holdout . no blood on anyone's hands . a clean getaway . all good , no bad . you'll be rich forever . blue skies smiling at you . . . br br right . br br everything goes to hell , of course . it's one damned thing after another and the stakes keep going up . and it almost all happens claustrophobically inside an abandoned warehouse somewhere in los angeles . in fact , the movie goes out of its way to project a backdrop of industrial urban decay . i happen to like industrial urban decay . br br kudos to matt dillon , who plays the top bad dog . he goes from charming to disappointed to frustrated to outraged to totally effing insane in the course of the movie . love that guy . br br also , credit is due to the menacing , throbbing , blistering and totally sinister electronic soundtrack by john murphy . i am guessing he's heard a few tangerine dream records . br br also , it's surprising that this is a pg13 movie . i caught one one ! fbomb in this entire movie about violent toughguy robbers . on some level , i like that . take the kids . br br the director is nimrod antal , a hungarian who made a fine noir set in the budapest subway system called kontroll . screenwriter is an outofnowhere guy called james v . simpson . br br a lot of the people in this movie are just starting out . i am willing to bet the esteem given to this movie will rise as time goes on and these filmmakers advance in their careers .",1,0
"in a poor village in mexico , the colonel fernando lujn lives with his asthmatic wife lola marisa paredes in an old house . lola still grieves the death of their son augustin some time ago . the colonel has been expecting for his pension of fighter in a war against catholic church for almost twentyseven years . however , for political reasons , the present government wants to forget this old fight . without having any possession or money , but a valuable gamecock , they struggle to survival with the expectation of the acknowledgement letter from the government , recognizing the law and paying for the delayed pension . this slow and touching movie reflects the social and financial situation of most of the elder retired persons in third world countries . in brazil , most of the retired persons has to survive with about us 80 , 00 per month . the debts of the colonel in the story were made to pay for a graveyard for his son , otherwise he would be buried as an indigent . outstanding performance of the cast , in a very sad story that is reality in the poor countries . my vote is eight . br br title brazil no se escreve ao coronel' do not write to the colonelbr br",1,0
"no one would ever question that director leos carax is a genius , but what we wonder about is is he an insane genius ? so many people hated this film ! i am normally the first person to accuse many french directors of making offensive , boring , disgusting and pretentious films such as the horrible recent film 'l'enfant' and the pointless and offensive 'feux rouges' . but strangely enough , i actually think that 'pola x' is an amazing film , made with great skill and passion by a master of his craft , and containing remarkable performances . the film does carry melodrama to more extreme lengths than i believe i have ever seen on screen before . but then , carax is extreme , that we know . the film also contains what i consider way overthetop trotskyite or anarchist fantasies and wetdreams , what with a mysterious group of young men training to fire machine guns at the bourgeoisie in between playing scott walker's rather fascinating music in a band which has its recording sessions in an abandoned warehouse filled with squatters and fires burning in old steel barrels . guillaume depardieu plays a rich young man in a chteau whose stepmother is catherine deneuve , and he wanders into her bathroom while she is naked in the bath , by the way . but he suddenly 'snaps' completely when he discovers that his deceased father , a famous diplomat , had fathered an illegitimate daughter who had been effectively disposed of by deneuve as an inconvenience . this is because the sister suddenly turns up as a kind of romanian refugee with wild dishevelled hair , expressionless face , and little ability to speak french coherently . depardieu then transforms himself into a 'class hero' of the far left and wants to kill or destroy his family for their hypocrisy and corruption , and lives in squalor and extreme poverty , while scorning a vast inheritance . he then commences an incestuous sexual relationship with his halfsister , which is shown in an explicit sex scene which has offended many people , though i have no objection to it , as i think people are far too hysterical about sex , especially in america , where apparently it never happens . the intensity of the acting and the filming make this unlikely scenario come off as an experience of powerful , if depressing , hypermelodrama . the differences between carax making an extreme film like this and the numerous extreme french films which i think are pretentious and disgusting are 1 that carax is an excellent filmmaker , and 2 he is seriously attempting to explore a meaningful , if harrowing , extreme emotional condition , whereby a human being disintegrates and turns against his background . many would say that the extreme elements in this film were gratuitous , but i don't agree . i believe carax was genuine , and was not making an exploitation picture at all . it is very difficult to defend a man who goes that far and who , for all i know , may be a complete madman , but i believe he deserves defending for this remarkable cinematic achievement .",1,0
