text,true,pred
"despite being a huge fan of fred astaire and ginger rogers' movies , it wasn't until about 6 years ago that i first saw 'follow the fleet' . i knew all the songs from an old astairerogers record yes , vinyl but knew nothing of the plot . br br unfortunately , while the songs are catchy and ginger rogers' character is sweet and funny , you just can't like 'bake baker' . while trying to make up to his longtime partner , he continually sabotages her career . his character doesn't have the usual humour and elan of the other films' astaire characters . br br worth watching for the songs and a great solo tap routine by ginger rogers .",0,1
"i know that full moon , or any other film studio for that matter , could never recapture the fun and cheesy scifi feeling that was the original trancers . ' and with the last two entries in the series having jack deth in medieval times instead of futuristic los angeles , it became quite obvious that there really was little hope in reviving the trancers series . breathing new life into a film is one thing , but taking our main character out of his element and putting him into the past , well , it didn't work ! so now with trancers 6 , full moon has breathed so much new life into the series that we don't even deal with jack deth any more . we now deal with his daughter , jo . jack is in her body and must go into the past and fight the trancers one more time . br br minor spoiler first scene of the film revealedbr br to prove how bad this movie is , you only need watch the first two minutes of the film when the original jack deth appears on the screen . but it's not actually tim thomerson . it's clips of him and sound bytes strung together trust me , you can tell they're strung together horribly to provide the viewer the last of the true jack deth humor . and from this point on , things only go down hill . having this girl , jo deth , as our main character while jack deth is supposed to be in her body , is the worst idea in the world . having this cute young woman act as a rough and tough man isn't the right track at all ! it doesn't work and it really comes off as foolish . br br i'm not going to go into the aspects of special effects and makeup because most reading this know what full moon has become a really , really , low budget enterprise . i don't know what to say about this movie , except i really wish full moon could be like it was in the days of demonic toys , puppet master , and trancers 1 . back then , while the special effects weren't great , the story telling was . they made serious bmovies for serious b movie and horror fans , and that just doesn't take place today with the new full moon studios . i yearn for the good ol' days , and truly hope , that full moon can pull itself out of this horrible slump that they're in right now . br br trancers 6 gets a 2 out of 10 .",0,1
"ok , let me again admit that i haven't seen any other merchant ivory the distributor films . nor have i seen more celebrated works by the director , so my capacity to discuss before the rains outside of analysis of the film itself is mitigated . with that admittance , let me begin . br br before the rains is a different kind of movie that doesn't know which genre it wants to be . at first , it pretends to be a romance . in most romances , the protagonist falls in love with a supporting character , is separated from the supporting character , and is sometimes united with his or her partner . this movie's hero has already won the heart of his lover but cannot be with her . his name is henry moores and her name is sajani , and they reside in southern india during the waning days of the raj british imperial rule . henry has been away from london for a long time and has fallen in love with his married indian maid , despite his legal marriage and child overseas . what could be better than that ? they often sneak away for intimate afternoons until some children notice them . word spreads to sajani's husband who questions her involvement with moores . she denies any contact with him , but moores asks her to leave the area . sajani refuses because of her devotion to him and commits suicide . please take note that these events occur in the opening third of the film . the film changes tone and becomes a crimedrama in its final portions . br br sajani's body is discovered right as moores' family comes to visit . the alleged perpetrator is moores's englisheducated assistant t . k . t . k . knows of his master's affair but keeps silent until his life becomes threatened . once he is declared innocent , he attempts to regain his honor by killing moores . t . k . is too squeamish and leaves him in a dirt path as the rains fall . br br i want to warn you , this isn't a romance film . the dvd cover and theatrical posters show an indian woman and caucasian man embracing in an idealized tropic setting . this image is captured directly from the film's opening , but quickly disappears . then it's over . it seems like an effort to capitalize on western fixation on forbidden love . it isn't effective , at all . not only is the movie not a romance , but its characters lack any personality . they are bundles of walking clichs . moores is an arrogant white man who doesn't recognize his indian friend , t . k . 's intelligence . t . k . is torn between his own heritage and his educative background . sajani is a woman incapable of having a choice in her romantic life . oh , and , of course , moores' family is inquisitive into sajani's death but still slightly racist to indians . if the tone wasn't so serious , i would be willing to overlook these problems , but it isn't . the film is presented with a didactic overtone which highlights its poor character development . br br no , this film isn't terrible . other than the laughable screenplay , it isn't poor . the actors are all experienced and perform well here . nandita das , who plays sajani , was part of wonderful indian drama water . even director sivan has an impressive resume . he recently oversaw the terrorist , which is part of roger ebert's great movies collection . what happened here ? why is this movie so bad ? well , sivan mentioned how he was inspired to direct this film because of a short he viewed in israel called red roofs . apparently , the story was timeless , and sivan sought to create a similar experience set in 1930's india . i don't have any problem with that approach , but i think sivan may have been too motivated this time . the actors , cinematography , and set design are acceptable but unless you share sivan's aura , you'll probably not enjoy it . my recommendation is that you presume you aren't in accordance with him and watch something else . final consensus and out of",0,1
"i was excited to hear that someone had made a documentary on what it was like to be puerto rican . when i heard it was rosie perez , i wondered . . could she possibly know what it is really like to be puerto rican . as far as i knew . . . . she was a nuyorican . well anyway , i anxiously sat with my popcorn to watch . i realized 10 min into it that my initial apprehension was right . rosie perez has little knowledge about what it is like to be puerto rican . this documentary is more a 1st hand , very very personal account on what it is like to be a nuyorican . . and all of what that entails . she like most of the nuyoricans i know have a watered down , partial and sometimes twisted sense of history . how could they not . . they live here . yes , all of them are proud . as they should be ! but a lot don't know the ins and outs of the real culture , history and political background or language for the most part . it all became very very apparent with her participation in the vieques issue . regardless of my personal take is on this issue . . at least i know what the hell the fight is for . there is she is getting arrested for something she knew little about . . and only participated in because it was a puerto rican cause i really don't understand how she is not embarrassed to admit to it . for those of you that are not puerto rican , please view this as a partial account of a woman's journey of self discovery and acceptance . do not take this as gospel . . . a lot of it isn't even true . please consider the source . rosie is an actress ; not a historian . this movie is not and should never be , for other nuyoricans , the base for their information . instead , just a step towards finding more info , learning and debating what the reality is . not just the one coming from this woman's eyes .",0,1
"using tons of stock footage , not only from trader horn but also the first two films in the series for example the alligator fight was used last time out this is one of the weakest films in the mgm series . its a huge let down after the classic tarzan and his mate which is possibly the best film in the series . br br the plot has jane's cousins coming into the jungle to tell her that she has inherited a fortune if she'll come back to claim it . they are kind of in the bind since the relative that left her the money cut them out of the will . hiring a great white hunter , who secretly wishes to capture tarzan and sell him , the pair heads into the jungle where they run into the usual jungle troubles more so because of the stock footage . after lots of talk jane decides to go back to civilization and we get long sequences of tarzan and jame making kissy face . finally into the last half hour the plot to capture tarzan is put in motion and things at last become interesting as plans go awry and things look very grim for all concerned . . br br painfully dull film is clear evidence of a troubled production . the film seems to have been assembled from several different films with the first half hour playing as an almost exact repeats of the previous film . the middle third shows signs of having to stretch things out and having plot lines that ultimately went nowhere . the last third where tarzan is captured and the party is put into peril is the point that the film finally comes to life it also shows signs of the graphic violence that caused much of the need to reshoot the film . to me its a great wonder how the series managed to continue on from here since this film isn't very good except at the end . i would be hard pressed to explain it except i would have to say that it was the relationship between weissmuller and o'sullivan as tarzan and jane which kept people coming back . its a beautifully acted pairing and really is one of the screens great couples . br br i should probably also mention that this is the point that the film became less real and more fantastical with the appearance of the tarzan tree house . i really dislike the first hour or so of this film a great deal and find it a great waste of time and energy . if you can come in towards the end i would recommend giving the film a try . otherwise i would just skip the whole film and move on to the next film in the series .",0,1
"black vengeance is an alternate title for ying hung ho hon aka tragic hero 1987 . i have just seen this on vhs , together with the first part of the story , gong woo ching rich and famous , also 1987 . the poster and 2 stills featured on the page are for a 4dvd set of movies starring rod perry the black gestapo , fred williamson black cobra 2 , richard lawson black fist . the fourth movie is called the black six . strangely , while the characters retain their original names in rich and famous , in black vengeance chow yunfat's character is named eddie shaw , alex man man tze leung is harry , and andy lau is called johnny . also confusing is the fact that 1994 is given as the copyright dates on both films . perhaps that was the year they were americandubbed . according to the release dates given on imdb tragic hero was released before rich and famous . was there any reason for releasing the sequel first ? despite some users' comments , i enjoyed these films , although they aren't among cyf's best such as the killer and hardboiled which are truly astonishing . however , if one day i come across a 2dvd set of rich and famous and tragic hero i won't hesitate to buy it . hopefully , these comments about black vengeance clear up , which was also for me , a mystery as to where it belonged in chow yunfat's filmography .",0,1
"a fabulous book about a fox and his family who does what foxs do . that being stealing from farms and killing prey . until a trio of farmers decide they've had enough of this fox and try in various ways to have the problem solved . they are of course out foxed at every turn and while the trio are camped out at the fox hole the family perform raids against the three farmers land . br br thefilm version , and i use the term film very loosely , is more of a god awful pastiche of american heist movies particularly the oceans movies . they they even have george clooney as mr fox to to add to the insult and manage to miss the point of the story quite completely . so kudos to them . they'll make lots of money and destroy another classic roald dahl children book .",0,1
"i saw this movie in 1956 and again on cable a few days ago . the movie hasn't improved with age . quite the opposite . it's a true spaghetti epic . br br the trojans are heroic and likable ; the greeks are nasty , petty and sneaky . br br so what if paris ran off with the king's wife ? hey . . . love is love .",0,1
"in the muslim country of khalid fictional , its benevolent leaderdictator , reed hadley as amir , is dying of cancer . amir dies and a desperate plot unfolds . his body is wrapped in aluminum foil and taken in a clandestine operation the population does not know of his death consisting of his doctor nigserian and mohammed , out of the country to perform a risky brain transplant . the surgery is being performed by the disgraced dr . kent taylor , who believes there is no chance of failure and has two assistants . one of them is about 3 feet high master blaster did indeed run barter town and the other is a mutilated traumatized 7 foot giant named gor . what could possibly go wrong ? ? br br did i forget to mention amir's deathbed american , blondebarbie wife , tracy or that dr . kent has a dungeon with female slave test subjects delusions of grandeur ? how about a brain transplant that didn't take ? there is a lot of doubledealing throughout this and people are killed , but i'm not going to lie to you anymore mission accomplished . the ends justify the means . if you can accept that then you will not have to waste 80 minutes . i hope that is warning enough . don't say i didn't warn you . if you must watch , then don't watch alone and have plenty of medicine standing by . br br celluloid rehab",0,1
"this appears to be two movies spliced into one . in the first , zasu pitts is a renegade in a small town . she wants to help the romantic life of marjorie woodworth . ok i'd never heard of her before either . but she and pitts are in both parts of this concoction . br br before we know it , pitts is no longer miss polly . she is emmie . i had to rewind to see if i'd fallen asleep somewhere . i hadn't . she no longer in a small town but on her way to the title honeymoon destination . br br the movie has some cute moments . the first part is better , with roles for what seems to be every thirdrate character actress working in hollywood at the time . br br and what of ms . woolworth ? she sounds a little like betty hutton . she sounds a little like marie wilson . she's pretty , certainly . but she's no comedienne . br br pitts often was used in very small roles . here she has the largest role . she's always fun , though this movie made me wonder if a little of her doesn't go quite a long way . as a comic . when she was a tragic actress in von stroheim silents the wedding march and greed are the two i have seen she was brilliant .",0,1
