text,true,pred
"the ma pa kettle characters were highly popular and controversial . the films that featured their brood paved the way for television sitcoms that came after it and sought to emulate its winning formula . one obvious reference is 'the beverly hillbillies , ' where the new home was bought with oil money , not having been won in a contest . you could even say the 1980s sitcom 'newhart' borrows its idea of backwards rural characters from this series . still , i wonder if betty macdonald , the washingtonbased author who created these characters , didn't do more harm than good . her portrayal of hillbilly characters makes them the butt of many jokes in terms of their alleged sloppiness and laziness . the real life family that macdonald based the kettles upon , successfully sued . . . claiming they had been ridiculed and humiliated with these lessthanflattering references . sure , it's comedy and the situations bring us a great many laughs and fun moments . . . and political correctness as we know it today did not exist in the 1940s and 1950s . but i think macdonald could've still written these characters more sensibly and universal international could've had its scriptwriters show them on screen with more dignity there's such a thing as good taste . the more realistic moments are when the oldest son tom is ashamed of his rural heritage but learns to accept his parents and siblings for who they are . for their part , the kettles have to realize that they don't exactly fit into a modern world . that's not a joke . . . that's a sober truth .",1,0
"this film was so wellpaced that i don't think i actually blinked while watching . one intense situation after another kept me glued to the set . however , i would have liked to have seen corey feldman a lot more in this picture . he just steals every scene that he is in . this could be my favorite grown up corey performance . the ending was clever and unlike other films which back away from severing body parts of likeable supporting characters , this film goes for it ! i liked that it was not graphic blood and gore but left more to the viewer's imagination . bravo . i literally had to wipe sweat from my forehead during this particular torture scene with a paper cutter . ultimately , the film works because of its likeable lead character and the awesome presence of my alltime favorite bad guy , james remar48 hours , remember ? i strongly recommend this film for anyone looking to break a sweat . br br",1,0
"well , well . . . . roeg touched a bit of a nerve there , didn't he ? he was a genius while he was cataloguing his various characters' descents into psychosis for a couple of decades , but as soon as he has the bad taste to suggest that redemption or even some good advice might be found in the bad old catholic church , the hipperthanthou alternative movie crowd gets extra vicious . worse still , theresa russell's character faced with experiences that nothing in her avowedly rationalist outlook has an explanation for , is unwillingly forced to deal with those experiences on another level that of the spiritual . you know , the realm of the ignorant and superstitious , the sort of thing that the arthouse cinephiles are supposed to be above . oh , the horror . . . so she finds her marriage the idea that it might be a uniquely important commitment affirmed by what seems uncomfortably like divine intervention . people who find this idea prima facie offensive could maybe ask themselves why they instinctively jump into attack mode at being challenged to take seriously the idea of a spiritual dimension to their lives . but they probably won't . sure , this film has some problems , notably talia shire's delirious hamwork as the overwrought nun , 1950sstyle attire and all . and the dialogue between marie davenport and the young priest in their last scene is straight out of the spellbound school of glib interpretations though hitchcock's movie escaped similar charges due to the source of wisdom having impeccably secular credentials as a freudian psychoanalyst . but , sadly , nicolas roeg appears to have copped a critical mauling as much for even asking the question as for the possible answers this film presents .",1,0
"i'm not here to tell you armored is kubrickian , hitchcockian or felliniesquire . nope . referenced directors are more like don siegel charlie varrick and walter hill the warriors . those two helmers didn't fool around with niceties like putting women in their movies . no skirts need apply . they unapologetically made guy movies . guns , lots of guns . men met violent death with a twitch of the jaw . their movies were like a sap to the head . you want a friend ? get a dog . br br armored is so a guy movie . dueling armored trucks ? bloody gunshot wounds ? exploding money ? if that doesn't get the lizard part of your brain excited , then stay away . br br at 88 minutes , armored is all muscle without an ounce of fat . we meet six security guards who drive armored trucks , three per truck . the six , led by matt dillon , scheme up a fake hijack involving two trucks . their mission one day is to deliver 42 million from the federal reserve i think . the idea is to drive both trucks to a warehouse , stash the cash , then stage a hijack . sure , the cops will suspect them , but if they stick together they'll get through it . br br trouble is , one of the six , played by columbus short , is a holdout . at first . but he faces eviction . and he's the guardian for his messed up younger brother . he needs cash bad . br br matt dillon cajoles , pleads , persuades the holdout . no blood on anyone's hands . a clean getaway . all good , no bad . you'll be rich forever . blue skies smiling at you . . . br br right . br br everything goes to hell , of course . it's one damned thing after another and the stakes keep going up . and it almost all happens claustrophobically inside an abandoned warehouse somewhere in los angeles . in fact , the movie goes out of its way to project a backdrop of industrial urban decay . i happen to like industrial urban decay . br br kudos to matt dillon , who plays the top bad dog . he goes from charming to disappointed to frustrated to outraged to totally effing insane in the course of the movie . love that guy . br br also , credit is due to the menacing , throbbing , blistering and totally sinister electronic soundtrack by john murphy . i am guessing he's heard a few tangerine dream records . br br also , it's surprising that this is a pg13 movie . i caught one one ! fbomb in this entire movie about violent toughguy robbers . on some level , i like that . take the kids . br br the director is nimrod antal , a hungarian who made a fine noir set in the budapest subway system called kontroll . screenwriter is an outofnowhere guy called james v . simpson . br br a lot of the people in this movie are just starting out . i am willing to bet the esteem given to this movie will rise as time goes on and these filmmakers advance in their careers .",1,0
"if you like film , don't miss this one . if you prefer action , or horror , or romance , then you'll wonder what's happening . everyone here is stuck in a gangster film . and what happens is transcendental murder . br br there are few similar films . no doubt it will see limited release , and be hard to find . but the search will be worth it . if you want to study a mileu as a potential symbol , then this is indeed a film to study . br br you can't watch it once . if you do you'll never see what's happening . dark city is better . joe vrs . the volcano is more fun . but mad dog time could convert the gangsta crowd to symbolism . . . or at least to think twice before shooting again .",1,0
"this movie probably had a 750 budget , and still managed to surpass titanic . i rented this the day i crashed my mom's car , and it was the only thing that cheered me up beyond belief ! it has to be tied with 'the assult of the killer bimbos' . things to look for are 1 . the drive in blow job chinese girl scene 2 . the bleach blonde in the sassoon shirt who never changes 3 . the flinstonelike screech out driving 4 . the clashing ensemble worn by the redhead right before she gets killed don't worry , i'm not ruining any surprises , for it's soooo predictable 5 . the guy who finds it necessary to howl . 6 . the mental patient who plays a convincing job of being insane by poking out the eyes of a maniquen . 7 . the hour long chase at the end involving the teacher and the priest . 8 . the womman writing grafitti on the bathroom wall . 9 . last , but not least , the wonderful special effectsespecially the stab in the boob that made a . . . heaven help me . . . popping noise . br br enjoy ! br br",1,0
"let's face it , there is no perfect production of hamlet , it's simply far too long and varied and cerebral to get completely perfect across the board , especially what with the challenges of elizabethan english and shakespeare's abstruse dialogue . in any staging of it , there are bound to be certain moments , scenes , or intonations that one disagrees with . i've seen a lot of filmed hamlet productions olivier , gibson , branagh , scott , and now this bbc film with jacobi . in terms of faithful , fulllength productions , this one ranks up there with the very best . br br most hamlet productions are drastically cut , because to perform the entire play takes a stagetime of four to five hours . this production appears to be complete that is , all of the original shakespeare dialogue is intact and so it's essential for scholars and shakespearelovers . and though the lines seemed rushed on rare occasion for those less completely familiar with the text , for the most part the script is wellacted , wellspoken , and wellperformed . subtitles are available and very helpful , although upon occasion they lag slightly behind . br br jacobi does a quite admirable job with theatre's longest and most impossible role . i actually cried when hamlet dies , and i don't think i've done that before . patrick stewart as claudius and claire bloom as gertrude are excellent , as are lalla ward ophelia and david robb laertes , and the rest of the very onpoint cast . sets are minimal , so we can thankfully concentrate on the play without distraction or attention paid to nonessentials . br br at 3 hours and 45 minutes , this fulllength hamlet is a long haul to sit through , but again , if you want the real deal , it's 100 worth it , even if one needs to take an intermission for oneself . i highly recommend this production to all shakespeare lovers and scholars .",1,0
"or maybe not . whatever anyone thinks of broadcast news , good or bad , almost all the credit for that thinking belongs to writerproducerdirector james l . brooks . as a screenwriter of which he has long been one of the best , it is not easy to savage an entire business in this case , the business being television news but to do it with a smile , a wink , a knowing nod and a laugh practically every step of the way . to do all that takes real talent , something mr . j . brooks has in abundance . br br one user on this website , in his summary , asked the musical question did walter cronkite act like this ? answerve no ! of course not ! and the reason for that is in walter's uh , mr . cronkite's day , the only thing that mattered was bringing the news to the people . same goes for john chancellor and chet and david and douglas edwards and howard k . smith . sure , they had to pay lipservice attention to their ratings , if only to please their bosses . but all they really cared about was the news itself . br br now , of course , all that has changed . for the last 2530 years in the network news business , the only thing that has really mattered is ratings , ratings , ratings . the bottom line . how many bucks will our news division deliver for the network ? don't believe that ? br br let's consider the big three tom brokaw , dan rather and peter jennings aka stanley stunning . all three have now been on the job at their respective anchor desks for the last 1520 years peter actually got his first shot at the national anchor desk way back in the 1960s but was totally unprepared for the job . of the three , dan is the one with the greatest inthefield training as a reporter . personally , i think all three do terrific jobs as news anchors and are deserving of their positions . all of which has nothing to do with why all three are actually in those jobs . all three are now in their 60's dan is pushing the big 70 and all three are still very good looking . and if you think they're still good looking now , imagine how good looking they were in their 40's , when all three were hired for let's say , put in their current jobs . but do you honestly believe that any one of these three would have been put in had he looked like , let's say , fred gwynne herman munster . or like heaven forfend me ! ! ! not only that , if dan were retiring tomorrow , a younger than he is today walter cronkite would not be able to get his old job back . why ? not pretty enough . and it would matter not a whit that he is , or once was , the most trusted man in america . br br and this is what broadcast news is all about . tom grunnick william hurt , the next prettyboynationalnewsanchortobe who has trouble with a few minor things , such as thinking for himself , being able to write and knowing stuff . jane craig holly hunter , the brilliant news producer with news business standards and ethics , all of which get thrown to the wind when even she falls for prettyboytom . and aaron altman albert brooks , no relation to james l . , a topnotch newswriter and field reporter who has no hope for a national job because he flopsweats behind the anchor desk . and many other such flawed characters whom you know really do exist in the news divisions of the various networks . br br network blazed the trail . eleven years later , broadcast news carried the torch as a worthy successor . in the new millennium , what will be the next movie to savage the business of network news you can use . . . . . maybe . or maybe not .",1,0
"in a poor village in mexico , the colonel fernando lujn lives with his asthmatic wife lola marisa paredes in an old house . lola still grieves the death of their son augustin some time ago . the colonel has been expecting for his pension of fighter in a war against catholic church for almost twentyseven years . however , for political reasons , the present government wants to forget this old fight . without having any possession or money , but a valuable gamecock , they struggle to survival with the expectation of the acknowledgement letter from the government , recognizing the law and paying for the delayed pension . this slow and touching movie reflects the social and financial situation of most of the elder retired persons in third world countries . in brazil , most of the retired persons has to survive with about us 80 , 00 per month . the debts of the colonel in the story were made to pay for a graveyard for his son , otherwise he would be buried as an indigent . outstanding performance of the cast , in a very sad story that is reality in the poor countries . my vote is eight . br br title brazil no se escreve ao coronel' do not write to the colonelbr br",1,0
"no one would ever question that director leos carax is a genius , but what we wonder about is is he an insane genius ? so many people hated this film ! i am normally the first person to accuse many french directors of making offensive , boring , disgusting and pretentious films such as the horrible recent film 'l'enfant' and the pointless and offensive 'feux rouges' . but strangely enough , i actually think that 'pola x' is an amazing film , made with great skill and passion by a master of his craft , and containing remarkable performances . the film does carry melodrama to more extreme lengths than i believe i have ever seen on screen before . but then , carax is extreme , that we know . the film also contains what i consider way overthetop trotskyite or anarchist fantasies and wetdreams , what with a mysterious group of young men training to fire machine guns at the bourgeoisie in between playing scott walker's rather fascinating music in a band which has its recording sessions in an abandoned warehouse filled with squatters and fires burning in old steel barrels . guillaume depardieu plays a rich young man in a chteau whose stepmother is catherine deneuve , and he wanders into her bathroom while she is naked in the bath , by the way . but he suddenly 'snaps' completely when he discovers that his deceased father , a famous diplomat , had fathered an illegitimate daughter who had been effectively disposed of by deneuve as an inconvenience . this is because the sister suddenly turns up as a kind of romanian refugee with wild dishevelled hair , expressionless face , and little ability to speak french coherently . depardieu then transforms himself into a 'class hero' of the far left and wants to kill or destroy his family for their hypocrisy and corruption , and lives in squalor and extreme poverty , while scorning a vast inheritance . he then commences an incestuous sexual relationship with his halfsister , which is shown in an explicit sex scene which has offended many people , though i have no objection to it , as i think people are far too hysterical about sex , especially in america , where apparently it never happens . the intensity of the acting and the filming make this unlikely scenario come off as an experience of powerful , if depressing , hypermelodrama . the differences between carax making an extreme film like this and the numerous extreme french films which i think are pretentious and disgusting are 1 that carax is an excellent filmmaker , and 2 he is seriously attempting to explore a meaningful , if harrowing , extreme emotional condition , whereby a human being disintegrates and turns against his background . many would say that the extreme elements in this film were gratuitous , but i don't agree . i believe carax was genuine , and was not making an exploitation picture at all . it is very difficult to defend a man who goes that far and who , for all i know , may be a complete madman , but i believe he deserves defending for this remarkable cinematic achievement .",1,0
"financially strapped paramount pulled out all the stops for this '34 stage adaptation entry big budget , large cast , extravagant production and mitch leisen tagged as the director . what happened ? two things busby berkeley didn't work for the outof focus rock and a murder mystery script that didn't deserve to be in the same trash can as the worst charlie chan first draft down the street . i have to believe that the cutting was out of leisen's hands since the great duke ellington's number is savagely chopped , but that doesn't mean that it ain't worth a look the 'sweet marihuana' number featuring topless chorus girls is a mind blower , considering the looming production code and it also has the ravishing toby wing whose unfortunately fed horrible lines and playing the prototype dumb blonde as a chorion hot for an otherwise preoccupied jack oakie . carl brisson's acting is bland as melba toast but he's a competent singer . maclaglen reaches for new plateaus as a stereotypical dumb detective . and try to spot lucy in the chorus . this rates a 7 . 0 as a curiosity . feb 2010 rethink i recently gave the film another look and now feel i was wrong to berate the lack of busby berkeley production numbers . i can understand leisen's argument for more realistic production numbers within the context of the plot . i still have enormous issues with the editing however . paramount , the raciest major studio in town , faced huge issues with the production code at the worst possible time in it's history , financially speaking , and pulled out all the stops on this one also check out 1934's search for beauty . a must see for precode buffs .",1,0
"this documentary on dinosaurs was undoubtedly fascinating and very well made . however , i found myself watching many of the bits with unease . the film generally took a rather confident stand on anything it said and showed , but inevitably much of the behaviour of the beasts , their interaction with each other , what they looked like , how they moved , what they ate etc . much of that is surely guessing sometimes guessing with reasonable confidence , sometimes just wild guessing . but the viewer is never made aware of that , the film pretends to actually observe real dinosaurs and their real behaviour etc . that makes probably better viewing than confronting the audience with mountains of disclaimers , but it makes it just a bit too populist in my estimation .",1,0
"the lead characters in this movie fall into two categories smart and stupid . simple enough . br br jiri machacek standa plays a hapless , dopey guy who gets arrested for a crime he did not commit . when he tries to get financially reimbursed by his evil , former boss , the situation gets out of control . br br while standa is genuinely but endearingly stupid , his buddy ondrej is an absolute blithering idiot who bungles everything and manages to say and do the wrong thing every time . without ondrej , standa might stand a chance of going through life with some modest degree of success . with ondrej , life will never be boring , but it sure won't be without a lot of headaches ! br br ivan trojan plays zdenek , an evil genius type who degenerates into some hitleresquire delusional tyrant . zdenek and his henchmen try to kill standa to keep zdenek's secrets safe . br br i am very impressed with the high quality and imagination of czech films . for a relatively small country , the czech republic certainly has produced more than its share of superb entertainment . the best czech movies i have seen are 1 peliky and 2 tmavomodr svet dark blue world . if you see these two movies , you have seen the absolute best of czech cinema .",1,0
"this is a wonderfully written and well acted psychological drama . it is not really a horror flick so those looking for something like the ring or the grudge will be disappointed . what really surprised me about this film was the intelligence and subtle attention to detail in the plot and the effort made to be internally consistent . i also appreciated the absence of dr . phil psychobabble or new age revisionism . rather than advancing an agenda , the filmmakers just told the story , told it well and let the viewer think about it . the sparse dreamscapes were reminiscent of wyeth paintings and amazingly effective . br br a great example of how to make a good film on a small budget , without big studios , star actors , bigname directors this was far better than many of hitchcock's films , special effects or clever plot twists .",1,0
"i don't think anyone besides terrence malick and maybe tran anh hung makes cinema on a purer level than claire denis . that said , i don't love this , her newest film , quite as much as her 2001 masterpiece trouble every day although it comes very close , which itself is one of my absolute favorite films . it it only because the narrative here is possibly slightly too elliptical for it's own good . don't get me wrong , the fact that this film barely has a plot at all is really one of the best things about it , but i think denis took it about one degree farther than it needed to go and consequently the film does flirt with incomprehensibility , and a few key plot points should have been clarified somehow like that the main character goes to south korea to get his heart transplant , instead of just showing him there all of a sudden without any explanation of where he is or why he is there . also some of the other characters seemed unnecessary and as if they were just excuses for denis to use actors she likes yet again beatrice dalle's character in particular is a little distracting because you keep expecting that she is going to have some significance . still , the film is incredibly absorbing and the cinematography is beyond amazing . it is definitely very much a masterpiece in it's own way . at least as good as denis' more highlyacclaimed beau travail , if not better . claire denis has to be my favorite french director at this point , better than leos carax even . also i have to admit that the south korean sequence really does do lost in translation better than that film itself does and i , unlike some , am a huge fan of that film as well .",1,0
