text,true,pred
"well , well . . . . roeg touched a bit of a nerve there , didn't he ? he was a genius while he was cataloguing his various characters' descents into psychosis for a couple of decades , but as soon as he has the bad taste to suggest that redemption or even some good advice might be found in the bad old catholic church , the hipperthanthou alternative movie crowd gets extra vicious . worse still , theresa russell's character faced with experiences that nothing in her avowedly rationalist outlook has an explanation for , is unwillingly forced to deal with those experiences on another level that of the spiritual . you know , the realm of the ignorant and superstitious , the sort of thing that the arthouse cinephiles are supposed to be above . oh , the horror . . . so she finds her marriage the idea that it might be a uniquely important commitment affirmed by what seems uncomfortably like divine intervention . people who find this idea prima facie offensive could maybe ask themselves why they instinctively jump into attack mode at being challenged to take seriously the idea of a spiritual dimension to their lives . but they probably won't . sure , this film has some problems , notably talia shire's delirious hamwork as the overwrought nun , 1950sstyle attire and all . and the dialogue between marie davenport and the young priest in their last scene is straight out of the spellbound school of glib interpretations though hitchcock's movie escaped similar charges due to the source of wisdom having impeccably secular credentials as a freudian psychoanalyst . but , sadly , nicolas roeg appears to have copped a critical mauling as much for even asking the question as for the possible answers this film presents .",1,0
"i'm not here to tell you armored is kubrickian , hitchcockian or felliniesquire . nope . referenced directors are more like don siegel charlie varrick and walter hill the warriors . those two helmers didn't fool around with niceties like putting women in their movies . no skirts need apply . they unapologetically made guy movies . guns , lots of guns . men met violent death with a twitch of the jaw . their movies were like a sap to the head . you want a friend ? get a dog . br br armored is so a guy movie . dueling armored trucks ? bloody gunshot wounds ? exploding money ? if that doesn't get the lizard part of your brain excited , then stay away . br br at 88 minutes , armored is all muscle without an ounce of fat . we meet six security guards who drive armored trucks , three per truck . the six , led by matt dillon , scheme up a fake hijack involving two trucks . their mission one day is to deliver 42 million from the federal reserve i think . the idea is to drive both trucks to a warehouse , stash the cash , then stage a hijack . sure , the cops will suspect them , but if they stick together they'll get through it . br br trouble is , one of the six , played by columbus short , is a holdout . at first . but he faces eviction . and he's the guardian for his messed up younger brother . he needs cash bad . br br matt dillon cajoles , pleads , persuades the holdout . no blood on anyone's hands . a clean getaway . all good , no bad . you'll be rich forever . blue skies smiling at you . . . br br right . br br everything goes to hell , of course . it's one damned thing after another and the stakes keep going up . and it almost all happens claustrophobically inside an abandoned warehouse somewhere in los angeles . in fact , the movie goes out of its way to project a backdrop of industrial urban decay . i happen to like industrial urban decay . br br kudos to matt dillon , who plays the top bad dog . he goes from charming to disappointed to frustrated to outraged to totally effing insane in the course of the movie . love that guy . br br also , credit is due to the menacing , throbbing , blistering and totally sinister electronic soundtrack by john murphy . i am guessing he's heard a few tangerine dream records . br br also , it's surprising that this is a pg13 movie . i caught one one ! fbomb in this entire movie about violent toughguy robbers . on some level , i like that . take the kids . br br the director is nimrod antal , a hungarian who made a fine noir set in the budapest subway system called kontroll . screenwriter is an outofnowhere guy called james v . simpson . br br a lot of the people in this movie are just starting out . i am willing to bet the esteem given to this movie will rise as time goes on and these filmmakers advance in their careers .",1,0
"this movie probably had a 750 budget , and still managed to surpass titanic . i rented this the day i crashed my mom's car , and it was the only thing that cheered me up beyond belief ! it has to be tied with 'the assult of the killer bimbos' . things to look for are 1 . the drive in blow job chinese girl scene 2 . the bleach blonde in the sassoon shirt who never changes 3 . the flinstonelike screech out driving 4 . the clashing ensemble worn by the redhead right before she gets killed don't worry , i'm not ruining any surprises , for it's soooo predictable 5 . the guy who finds it necessary to howl . 6 . the mental patient who plays a convincing job of being insane by poking out the eyes of a maniquen . 7 . the hour long chase at the end involving the teacher and the priest . 8 . the womman writing grafitti on the bathroom wall . 9 . last , but not least , the wonderful special effectsespecially the stab in the boob that made a . . . heaven help me . . . popping noise . br br enjoy ! br br",1,0
"as soon as i knew keira knighteley being in this flick , i said i have to watch this movie . she's the undisputed main character , domino , a bounty hunter . her job , as the no action scenes would teach us , reflects her rebel , violent attitude to life . i have to admit that it's the very first time that i watch an action movie whose most important scenes are the one in which the guns are far away from characters' hands . so , this stomped me a bit . anyway , for all the john woo's fans , there are helicopters falling down , explosions , gunfire as if it would rain , and a lovely keira that shoots with two machine guns , one per hand . the cast is absolutely brilliant . going beyond keira , which in this movie is a real tomboy , pretty much different from the lovely action figure we're used to see , mickey rourke is back , with his usual slapthrowing face and his potent body . christopher walken makes his job pretty well , as a reality show producer . br br let's go to the contents this movie has a journalistic shape . the talk show scene is disgustingly real . anyone that watched that load of . . . youknowwhat , can tell that this is the air that you breath in those situations . as well as the producer , when domino's mom says that the reality that should show domino's life is trash ; no offense , he answers i don't take it like an offense . this movie portrays a difficult life . domino , coming from a world that didn't want her , ed mickey rourke , a bounty hunter not so bounty , choco the third guy of the band , which family is using ed's words , the correctional institutes he's been , and alf , the driverbomber coming from afghanistan during the russian occupation . this bunch of people represents in some way the humankind born without the shirt ; unlucky , violent , and with nothing to lose , excepts their as they would consider miserable lives . the intro of the movie says that it is inspired by true story . . . more or less , so i couldn't possibly tell you how much of this stuff is true . anyway , going beyond explosions and dozens of weapons which could have been added to make the film easier to see , and be classified as an action movie , the characters' story is too realistic to be edulcorated . br br the interaction between the characters is various , well studied , and definitely not boring . what hasn't convinced me so much is the role of the psychiatrist lucy liu , sober as never in her acting career . it represents only the reason by which domino starts telling her story and that's a story . probably , the only con , in a movie with a lot of pros . br br all in all this isn't swat . the characters are crafted ; they have an identity , a shape . they have a name and a surname not just gamble and street . it's the case to say , it's the biography of a girl whose life went as fast as a bullet .",1,0
"financially strapped paramount pulled out all the stops for this '34 stage adaptation entry big budget , large cast , extravagant production and mitch leisen tagged as the director . what happened ? two things busby berkeley didn't work for the outof focus rock and a murder mystery script that didn't deserve to be in the same trash can as the worst charlie chan first draft down the street . i have to believe that the cutting was out of leisen's hands since the great duke ellington's number is savagely chopped , but that doesn't mean that it ain't worth a look the 'sweet marihuana' number featuring topless chorus girls is a mind blower , considering the looming production code and it also has the ravishing toby wing whose unfortunately fed horrible lines and playing the prototype dumb blonde as a chorion hot for an otherwise preoccupied jack oakie . carl brisson's acting is bland as melba toast but he's a competent singer . maclaglen reaches for new plateaus as a stereotypical dumb detective . and try to spot lucy in the chorus . this rates a 7 . 0 as a curiosity . feb 2010 rethink i recently gave the film another look and now feel i was wrong to berate the lack of busby berkeley production numbers . i can understand leisen's argument for more realistic production numbers within the context of the plot . i still have enormous issues with the editing however . paramount , the raciest major studio in town , faced huge issues with the production code at the worst possible time in it's history , financially speaking , and pulled out all the stops on this one also check out 1934's search for beauty . a must see for precode buffs .",1,0
"excuse me if i'm wrong , but cronica para un desayuno could be one of the most gretatest films in tne mexican movie history for a lot of reasons . we can get a lot of ingredients for a perfect mexican middleclass family breakfast a cup of buuel's surrealistic motifs with a little drop of ripstenian desolated scenarios ; a pound of phallus symbols around the film and a difficult psychological complexity , more than todd solondz's happiness and the dogma movement films . theres a lot of sordidness , black humor , repressed dreams teodoro's dream of fly , incestual lack of control the relation between marcos and luzma , nosense parallel stories , a discrete violence , anachronisms andbr br a little sign of hope spotlighted in luzma , the husband's home return and un poco mas used for leitmotif . marcos bruno bichir is a charming character i think in a bukoskian way , the kingwithout acrown who don't expects for anything , but broken noses . luzma maria rojo , the lovable wife , put out a lot of faces , but the only thing that she worried is that her sons had breakfast ; she' s a loser in many ways and sensual in few moments , but you will fall in love of her . the soundtrack's drag too much woods feeds the lack of technical merits , intentional , of course outoffocus shots , overlighted closeups in introspective scenes , dizzy pans and sudden edition cuts . crnica is something difficult to digest , it get stuck in the throat and anything helps for it . it tastes bitter , like a rotten orange juice and sour like expired milk , but you want to enjoy it . so i recommend to get some melox before the show , because you won't get hungry after all .",1,0
"with an opening segment that imitates the music and cinematography of todd haynes's safe 1995 , david lynch uses dream , myth and warped notions of reality to tell the fractured story of a failed bitpart hollywood actresswaitress , diane selwyn , let down by fame and her own demons and obsessed with camilla rhodes , who is engaged to hotshot director adam kesher . br br the film effectively takes place in diane's drugfueled head ; we are witness to her crazy distortions , her wishfulfillments , regrets , obsessions and fears . using the dream narrative as a way of presenting two notions of reality in conflict , lynch does not simplify the opposition between reality and fantasy but actively entangles them . the last 45 minutes are as dreamlike as what came before ; and the troublesome air of detached , otherworldly ambiguity still pervades , fracturing the seemingly secure distinction between reality and dream we expect to see in films about nightmares and dreams . br br lynch's film borrows from many films , old and new , but ultimately is a film unlike any other with the exception of the director's own lost highway and blue velvet . it constantly challenges the viewer to interpret what is seen , not only intuitively but intellectually . yet it is not as pretentious as one would have imagined because lynch makes us sympathize with the protagonist despite her murderous deeds an element that was missing in all of his other films except the straight story . he does this by presenting diane's dream alterego , betty , as a wholesome canadian farm girl destined for fame . lynch also presents us with an intriguing story that affirms and negates in equal measure . are camilla and diane really lovers or just friends ? who is the bluelady ? what does she signify ? who is the bum behind winkies ? what is the significance of the rotting corpse at sierra bonita ? does aunt ruth really exist ? is silencio an abstraction of hell or perhaps a selfreferential take on the film's status as fiction ? lynch isn't prepared to answer any question he poses , choosing instead to present his love story in the city of dreams as a set of interconnected abstractions and motifs . br br the acting is top rate , especially naomi watts as diane selwynbetty , who is yet to eclipse this performance . laura harring has the requisite hayworthesque allure as camillarita , while adam theroux as adam brings an freewheeling arrogance and sublimated paranoid aggression to his role . it was staggering and a grave injustice that not one of them was even nominated for an academy award . br br this is a film that demands to be seen and analyzed closely . the mystery at the heart of the film remains in lynch's hands but half the fun is finding consistent ideas from the maze of seeming incongruities that he presents . upon closer inspection there is a definite sense of a puzzle , perhaps an incomplete jigsaw that teases us with closure but denies the imaginary plenitude of narrative coherence . ultimately , this is lynch's key film .",1,0
"a lovely old fashioned thriller coming on like a cross between alfred hitchcock and david lynch , red rock west follows the misadventures of injured veteran unemployed oil worker mr n . cage as his luck turns from bad to worse after he ends up with an empty gas tank and barely enough money for a cup of coffee in a one ute town in the back of beyond . it has been established right from the start that mr cage might be down but he is not out , and he might be broke but he will not steal , not even in his present dire circumstances . consequently when he is mistaken by mr j . t . walsh for the man he has commissioned to murder his wife , mr cage calls on the wife to warn her of her husband's intentions . in turn she , in the person of miss l . f . boyle , offers him even more money to murder mr walsh . mr cage decides to leave whilst he is still in front but as he is driving out of town he hits a man in the road . tempted as he might be to drive on , he takes the man to hospital , where it turns out he has been shot . mr cage is detained by the deputies who call the sheriff who turns out to be mr j . t . walsh . events take a further complicated turn when , escaping from custody , mr . cage narrowly avoids being run over by the real hitman on his way to fulfill his commission . about now you might be forgiven for thinking enough already , but as it happens on the screen it seems a completely logical turn of events , the narrative flow of the movie at this point seeming unstoppable . mr d . hopper is comfortably cast as the hired killer , like mr cage a usmc veteran . this little piece of serendipity keeps mr cage alive long enough outthink the murderous trio and survive , a little more battered but still unbowed . it is a tribute to everybody involved that what sounds on paper remarkably like a piece of nonsense is in fact a tense exceptionally well made picture with fine performances all round . red rock west is a movie lover's movie . within five minutes you know you are going somewhere you've been before on plenty of occasions , but you'll be very happy during the trip .",1,0
"this movie is not about entertainment , or not even a movie you want to see to pass the time . this movie is a genuinely a display of true love that can only come from god . one cannot help but be touched deeply by looking at this movie . we have several dimensions of love that contributes to the value of this movie . there is the divine love of god that is beautifully portrayed . god's love transcends the heart and mind and endures and is eternal . there is the love in a marriage . while the main character grapples with his wife's disease , he realizes through god's love that he loves his wife more than he could ever imagine . he knows that he and his wife are one and can never be separated . finally , you have the love of child and parent . the kids in the family come together and realize that nothing else matters except that love conquers fear . dear friends , love is not love unless it comes from god , because god is love and love comes from god . talk to someone and let them know you love them . love does no good unless it is given to another . i pray this movie can inspire and change the lives of everyone who sees it . amen ! !",1,0
"the 1983 bbc production of jane eyre starring zelah clarke and timothy dalton love him has always been and will always be my favorite jane eyre . if you watch any other version of jane eyre without reading the book , it will be like watching some regular movie which you will forget the next day . but watching this one almost equals to reading the book . i used to watch these miniseries a lot when i was little , and they inspired me to read the book . at the time i didn't pay attention to how close this television production was to the book . recently , i watched the 1996 version of jane eyre and was very disappointed . it was only 2 hours long and didn't have many important scenes from the book such as my favorite gypsy scene . after that i fell in love with this jane eyre even more because it includes all the important scenes of the book and it just tells the whole story the other versions don't , if you haven't read the book . br br the cast of 1983 jane eyre is excellent . it's true that timothy dalton is a very handsome actor handsome enough to play butler in scarlet , and julius caesar , but he is so great as rochester that i can't imagine anybody else playing this role . and zelah clarke is , without a doubt , the only jane that follows the description of the book . the other thing that makes this film so great is the clothes and the makeup of the actors . jane looks so modest and naive , just as bronte describes her although she doesn't look 18 , but do you actually pay attention to that ? . . . br br some people say that this jane eyre is too long , but i would rather spend my whole day watching it than spend 2 hours watching some other version . some say the movie is dull and boring because jane is not passionate enough , or because there are not enough kissing scenes . i hate when they make jane eyre some hollywood movie with inappropriate kissing scenes . you don't have to include crazy , madly in love scenes to show the love between jane and rochester . and both zelah and timothy express this love so perfectly that there are no other scenes needed ! ! i am 19 years old , and many girls of my age refer to this film as boring and oldfashioned . but i can only feel sorry for them because they don't appreciate the purity and beauty of it . after all , the novel is set in 19th century , and that oldfashioned look makes it more attractive and more like the book . br br i don't think there will ever be any other version of jane ayre that will have the popularity and love of this one . no matter who plays jane and rochester in other movies , the real jane and rochester for me at least will always be zelah clarke and timothy dalton !",1,0
