text,true,pred
"despite being a huge fan of fred astaire and ginger rogers' movies , it wasn't until about 6 years ago that i first saw 'follow the fleet' . i knew all the songs from an old astairerogers record yes , vinyl but knew nothing of the plot . br br unfortunately , while the songs are catchy and ginger rogers' character is sweet and funny , you just can't like 'bake baker' . while trying to make up to his longtime partner , he continually sabotages her career . his character doesn't have the usual humour and elan of the other films' astaire characters . br br worth watching for the songs and a great solo tap routine by ginger rogers .",0,1
"cybrog 2glass shadow stars elias koteas as colton hicks rhymes with kicks ! a karate instructor who helps a cash jolie escape from pinwheel , her creators who look to detonate her and destroy a rival company . along the way billy drago and karen shepherd show up to displace the duo , while jack palance is there to deliver guidance to the duo on the run . one of the things that is quite shocking about the cyborg franchise , is how the series has managed to have quite prolific and off beat actors in the cast . the original had jeanclaude van damme and dayle haddon don't know her ? well she was in a bunch of 70's pornos this one has jack palance , elias koteas , billy drago and angelina jolie . the third one has william katt , zach galligan and malcom mcdowell . okay so , cyborg 3's cast isn't that impressive . i've never seen cyborg 3 , but i did see this on scifi channel and must admit i wasn't impressed . actually strike that , cyborg 2 is an often lovely looking movie , it's shot with excellent style and the visual detail make this easy on the eye . however cyborg 1 was the same way , indeed the movie was directed with a certain amount of style , slow motion and music that made it all easy on the eye . unfortunately like the first , this one doesn't have any new ideas or anything resembling a plot or texture . most of the ideas are taken from blade runner and max headroom , so for various reasons the movie doesn't have much to offer beyond it's look . another aspect is the terrible acting . karen shepherd and billy drago are absolutely terrible and angelina jolie isn't much better . elias koteas and jack palance come off fine but seriously palance is playing a cyborg warrior and koteas is a karate instructor . i guess on the positive side you can't accuse michael schroeder of not being ambitious with casting . still the movie is dull and i for one lost interest in the story fifteen minutes in . also why did they tie it in with cyborg anyway ? it has nothing to do with it's predecessor , which this manages to be worse than . br br out of 4bad",0,1
"i know that full moon , or any other film studio for that matter , could never recapture the fun and cheesy scifi feeling that was the original trancers . ' and with the last two entries in the series having jack deth in medieval times instead of futuristic los angeles , it became quite obvious that there really was little hope in reviving the trancers series . breathing new life into a film is one thing , but taking our main character out of his element and putting him into the past , well , it didn't work ! so now with trancers 6 , full moon has breathed so much new life into the series that we don't even deal with jack deth any more . we now deal with his daughter , jo . jack is in her body and must go into the past and fight the trancers one more time . br br minor spoiler first scene of the film revealedbr br to prove how bad this movie is , you only need watch the first two minutes of the film when the original jack deth appears on the screen . but it's not actually tim thomerson . it's clips of him and sound bytes strung together trust me , you can tell they're strung together horribly to provide the viewer the last of the true jack deth humor . and from this point on , things only go down hill . having this girl , jo deth , as our main character while jack deth is supposed to be in her body , is the worst idea in the world . having this cute young woman act as a rough and tough man isn't the right track at all ! it doesn't work and it really comes off as foolish . br br i'm not going to go into the aspects of special effects and makeup because most reading this know what full moon has become a really , really , low budget enterprise . i don't know what to say about this movie , except i really wish full moon could be like it was in the days of demonic toys , puppet master , and trancers 1 . back then , while the special effects weren't great , the story telling was . they made serious bmovies for serious b movie and horror fans , and that just doesn't take place today with the new full moon studios . i yearn for the good ol' days , and truly hope , that full moon can pull itself out of this horrible slump that they're in right now . br br trancers 6 gets a 2 out of 10 .",0,1
"writer director robert downey , sr . , a pioneer of the underground film movement in the 1960s , satirized the new york madison avenue advertising world with his avantgarde comedy putney swope . downey doesn't confine his ridicule to advertising , but tackles black militant culture , the dynamics in hollywood's portrayal of race , the elite white power structure , and character of corruption in any power struggle . as audacious and ambitious as putney swope strives to be , it qualifies as a terrible film , amateurishly made on a shoestring budget with a noname cast and humor that lacks hilarity . everything about this movie reeks with improvisation . putney swope stirred up controversy during its initial release with its politically incorrect handling of race issues and consumer culture . like most marx brothers movies , the plot is thin , providing an excuse for downey's anecdotal gags , most of which are terrible . br br the chairman of a prestigious madison avenue ad agency dies during a board meeting . before the body has been removed , the board holds a secret ballot vote to determine who will replace him . each member understands that they are forbidden to vote for himself . sheer accident occurs when everyone votes for the token black member , putney swope arnold johnson , since none thought anybody would cast a ballot for him . swope pink slips all but one of the white executives , surrounds himself with black , pistol packing employees , and renames the firm truth and soul advertising . swope decides to alter the face of american advertising . he refuses to accept clients whose products are alcohol , tobacco , or war toys . swope's clients stage an exodus after he becomes the ceo , and grandstanding attracts a new lineup of clients that show up at his office lugging bags of money and prepared to suffer abuse from swope's militant employees . swope exploits his africanamerican staff , too , ruthlessly appropriating their ideas after he fires them and conjures up a number of offensive advertising campaigns , all of which are hailed as a 'new wave' of marketing genius . incredibly , swope's conservatism proves successful but the agency becomes the target of government operatives who argue swope's advertising tactics constitute a threat to the national security . the high point of this black white , 85minute comedy are the television commercials shot in color . unfortunately , downey doesn't know when to cut off these ads that consistently start out cleverly but wear out their welcome . the funniest part of putney swope involves our eponymous protagonist's dealings with u . s . president mimeo in washington d . c . pepi hermine , a marihuanatoking midget with a kissingerlike teutonic adviser larry wolf spouting tasteless jokes while trying to convince swope to come up with an advertising campaign for his new car , the borman 6 .",0,1
"ok , let me again admit that i haven't seen any other merchant ivory the distributor films . nor have i seen more celebrated works by the director , so my capacity to discuss before the rains outside of analysis of the film itself is mitigated . with that admittance , let me begin . br br before the rains is a different kind of movie that doesn't know which genre it wants to be . at first , it pretends to be a romance . in most romances , the protagonist falls in love with a supporting character , is separated from the supporting character , and is sometimes united with his or her partner . this movie's hero has already won the heart of his lover but cannot be with her . his name is henry moores and her name is sajani , and they reside in southern india during the waning days of the raj british imperial rule . henry has been away from london for a long time and has fallen in love with his married indian maid , despite his legal marriage and child overseas . what could be better than that ? they often sneak away for intimate afternoons until some children notice them . word spreads to sajani's husband who questions her involvement with moores . she denies any contact with him , but moores asks her to leave the area . sajani refuses because of her devotion to him and commits suicide . please take note that these events occur in the opening third of the film . the film changes tone and becomes a crimedrama in its final portions . br br sajani's body is discovered right as moores' family comes to visit . the alleged perpetrator is moores's englisheducated assistant t . k . t . k . knows of his master's affair but keeps silent until his life becomes threatened . once he is declared innocent , he attempts to regain his honor by killing moores . t . k . is too squeamish and leaves him in a dirt path as the rains fall . br br i want to warn you , this isn't a romance film . the dvd cover and theatrical posters show an indian woman and caucasian man embracing in an idealized tropic setting . this image is captured directly from the film's opening , but quickly disappears . then it's over . it seems like an effort to capitalize on western fixation on forbidden love . it isn't effective , at all . not only is the movie not a romance , but its characters lack any personality . they are bundles of walking clichs . moores is an arrogant white man who doesn't recognize his indian friend , t . k . 's intelligence . t . k . is torn between his own heritage and his educative background . sajani is a woman incapable of having a choice in her romantic life . oh , and , of course , moores' family is inquisitive into sajani's death but still slightly racist to indians . if the tone wasn't so serious , i would be willing to overlook these problems , but it isn't . the film is presented with a didactic overtone which highlights its poor character development . br br no , this film isn't terrible . other than the laughable screenplay , it isn't poor . the actors are all experienced and perform well here . nandita das , who plays sajani , was part of wonderful indian drama water . even director sivan has an impressive resume . he recently oversaw the terrorist , which is part of roger ebert's great movies collection . what happened here ? why is this movie so bad ? well , sivan mentioned how he was inspired to direct this film because of a short he viewed in israel called red roofs . apparently , the story was timeless , and sivan sought to create a similar experience set in 1930's india . i don't have any problem with that approach , but i think sivan may have been too motivated this time . the actors , cinematography , and set design are acceptable but unless you share sivan's aura , you'll probably not enjoy it . my recommendation is that you presume you aren't in accordance with him and watch something else . final consensus and out of",0,1
"i'm not a big fan of romcoms at the best of times . a few have been quite good check of dream for an insomniac , but this one is just more of the same but less . br br with a running time of 100min , i expect more than 1 laugh every 30mins . the only real belly laugh are when male strangers and friends instinctively help out lee's character . br br all i can say is avoid . i guarantee there is at least 10 other movies on the shelf that deserve you br br 3 of out 10 and only cos i'm a big lee fan",0,1
"i watched this movie recently together with my sister who likes the performances of sophia loren . i'm a person who they call a cultural barbarian . i hate art in any kind of shape or form . rambo is more my kind of movie , action , kills , blood , horror . if you recognize yourself in this avoid this movie like the plague . no one dies , no action , no nudity , nothing of the kind . let me give you a rsum in a few sentences . it starts out with 5 minutes in black and white nazi propaganda . every italian in a housing block attends a parade in honor of hitler , except for a housewife , an anti fascist and a caretaker . the housewife who is cheated by her husband , meets the anti fascist . she falls in love with him , wants to make love to him , but the anti fascist is gay . despite of this they make love with each other . at the end of the day , the housewife reads a book from her gay lover , and the guy himself is deported by agents . the end . you want an even shorter rsum ? boring . . . that short enough ? the guy should have used his gun in the beginning of this movie and shoot himself , to save the audience from this atrocity . on a side note my sister loved this movie . like i said , i'm a cultural barbarian . . .",0,1
"stodgy drama starring pat o'brien as a washedup reporter who turns up at his exboss's house to ask for money to fund his son's operation , only to find him dead on the floor . since o'brien knows the identity of the culprit , he offers to take the rap in return for the money he needs . a decent premise is wasted on a film that pretends it has surprises , twists and turns , even though it really doesn't . performances are rotten across the board , the movie dresses itself up as a hardboiled american noir but the mix of dodgy accents doesn't work , and the story is hardly gripping . and it contains possibly the least attractive screen kiss of all time .",0,1
"black vengeance is an alternate title for ying hung ho hon aka tragic hero 1987 . i have just seen this on vhs , together with the first part of the story , gong woo ching rich and famous , also 1987 . the poster and 2 stills featured on the page are for a 4dvd set of movies starring rod perry the black gestapo , fred williamson black cobra 2 , richard lawson black fist . the fourth movie is called the black six . strangely , while the characters retain their original names in rich and famous , in black vengeance chow yunfat's character is named eddie shaw , alex man man tze leung is harry , and andy lau is called johnny . also confusing is the fact that 1994 is given as the copyright dates on both films . perhaps that was the year they were americandubbed . according to the release dates given on imdb tragic hero was released before rich and famous . was there any reason for releasing the sequel first ? despite some users' comments , i enjoyed these films , although they aren't among cyf's best such as the killer and hardboiled which are truly astonishing . however , if one day i come across a 2dvd set of rich and famous and tragic hero i won't hesitate to buy it . hopefully , these comments about black vengeance clear up , which was also for me , a mystery as to where it belonged in chow yunfat's filmography .",0,1
"so on the chills network on cable they are having vampire month , i'm such a dork , but i love vampires . so after a few duds that they showed i was pretty disappointed , but then i noticed sleepwalkers was written by stephen king . so i decided to go ahead and check it out , well much to my surprise , this movie was really bad . most stephen king films are entertaining and some are very scary . while sleepwalkers was bad , it was a beautiful kind of bad . i had a good time laughing at this movie and just taking it for what it was . i've never read sleepwalkers , from what i understand this is the only real vampire story by king , so i can't really compare book to film . i don't know if it was just my tv , but sleepwalkers looked like it was made for tv . the special effects were corny and the story was a bit far fetched , even if it is fantasy , it had a lot of problems . br br charles brady and his mother mary are vampires who feed off the life force of virgin women . they are considerably more resilient than humans and have powers of both telekinesis and illusion . their one weakness is cats , who are not only able to see through their illusions but whose claws are capable of inflicting severe to fatal wounds upon them . they also maintain an incestuous relationship . charles and mary have taken up residence in a small indiana town . charles attends the local high school , and there he meets tanya robertson in his creative writing class . tanya does not suspect the real reason why charles wants her so much ; to take her life force for his mother , who is starving . at first , it seems that charles has fallen in love with tanya . on their first date , however , a picnic at the nearby cemetery , charles attempts to drain the life force from tanya while kissing her . as it happens , deputy sheriff andy simpson who had earlier tried to pull charles over for speeding , drives by the cemetery and notices charles' car . when tanya runs to him for help , charles tracks andy down and kills him . when charles then turns to resume his life forcedepleting make out session with tanya , the deputy's cat , clovis , rises to the occasion and nearly kills charles by scratching him in the face and chest . mortally wounded by clovis , charles staggers back home to mary . mary then seeks vengeance on tanya's family . br br so to sum this movie up basically you should expect the cheese to overflow . the scene where charles attacks tanya for the first time is very clich and you almost vote for charles to win just because tanya is one of the dumbest female leads in horror movies . then you gotta love the scene where mary has a gun and shoots it at a cop car and somehow the whole thing explodes , god bless hollywood explosions and exaggerations . i'm taking the movie for what it is , it's just so deliciously bad that it turns into a dark comedy for me that i could just enjoy making fun of . i'm not sure if this is what stephen king wanted to see for his story , but he does have his typical cameo in the film . so my suggestion if you watch this movie , just take it for what it is and don't over think it , it's mindless entertainment with corny effects , bad casting , a silly story and enough cats to make the crazy cat lady from the simpson's say wow , that's a lot of cats . br br 410",0,1
