text,true,pred
"this isn't exactly a great film , but i admire the writers and director for trying something a little different . the film's main theme is fate and small , seemingly insignificant things that can greatly change the future . in some ways this reminds me of the film sliding doors , though instead of focusing on one random event , seemingly random stuff happens repeatedly and each one helps build to the cute conclusion . plus , an odd bald guy seems to understand all this and he talks about this during one brief scenelike he's some sort of omnipotent being but there's absolutely no explanation of him in the film like the two guys that fight each other in the clock tower in the hudsucker proxy . br br the dvd jacket shows just audrey tautou . this is capitalize on her success in amelie , though she is only one of many actors in the film and there is no one starring role . the pace is brisk , the acting fine and the conclusion isn't bad at all . the only reason i didn't score it higher is that some of the characters were a bit uninteresting and i think the movie could have perhaps been tightened up with a few less subplots .",1,0
"well , well . . . . roeg touched a bit of a nerve there , didn't he ? he was a genius while he was cataloguing his various characters' descents into psychosis for a couple of decades , but as soon as he has the bad taste to suggest that redemption or even some good advice might be found in the bad old catholic church , the hipperthanthou alternative movie crowd gets extra vicious . worse still , theresa russell's character faced with experiences that nothing in her avowedly rationalist outlook has an explanation for , is unwillingly forced to deal with those experiences on another level that of the spiritual . you know , the realm of the ignorant and superstitious , the sort of thing that the arthouse cinephiles are supposed to be above . oh , the horror . . . so she finds her marriage the idea that it might be a uniquely important commitment affirmed by what seems uncomfortably like divine intervention . people who find this idea prima facie offensive could maybe ask themselves why they instinctively jump into attack mode at being challenged to take seriously the idea of a spiritual dimension to their lives . but they probably won't . sure , this film has some problems , notably talia shire's delirious hamwork as the overwrought nun , 1950sstyle attire and all . and the dialogue between marie davenport and the young priest in their last scene is straight out of the spellbound school of glib interpretations though hitchcock's movie escaped similar charges due to the source of wisdom having impeccably secular credentials as a freudian psychoanalyst . but , sadly , nicolas roeg appears to have copped a critical mauling as much for even asking the question as for the possible answers this film presents .",1,0
"i'm not here to tell you armored is kubrickian , hitchcockian or felliniesquire . nope . referenced directors are more like don siegel charlie varrick and walter hill the warriors . those two helmers didn't fool around with niceties like putting women in their movies . no skirts need apply . they unapologetically made guy movies . guns , lots of guns . men met violent death with a twitch of the jaw . their movies were like a sap to the head . you want a friend ? get a dog . br br armored is so a guy movie . dueling armored trucks ? bloody gunshot wounds ? exploding money ? if that doesn't get the lizard part of your brain excited , then stay away . br br at 88 minutes , armored is all muscle without an ounce of fat . we meet six security guards who drive armored trucks , three per truck . the six , led by matt dillon , scheme up a fake hijack involving two trucks . their mission one day is to deliver 42 million from the federal reserve i think . the idea is to drive both trucks to a warehouse , stash the cash , then stage a hijack . sure , the cops will suspect them , but if they stick together they'll get through it . br br trouble is , one of the six , played by columbus short , is a holdout . at first . but he faces eviction . and he's the guardian for his messed up younger brother . he needs cash bad . br br matt dillon cajoles , pleads , persuades the holdout . no blood on anyone's hands . a clean getaway . all good , no bad . you'll be rich forever . blue skies smiling at you . . . br br right . br br everything goes to hell , of course . it's one damned thing after another and the stakes keep going up . and it almost all happens claustrophobically inside an abandoned warehouse somewhere in los angeles . in fact , the movie goes out of its way to project a backdrop of industrial urban decay . i happen to like industrial urban decay . br br kudos to matt dillon , who plays the top bad dog . he goes from charming to disappointed to frustrated to outraged to totally effing insane in the course of the movie . love that guy . br br also , credit is due to the menacing , throbbing , blistering and totally sinister electronic soundtrack by john murphy . i am guessing he's heard a few tangerine dream records . br br also , it's surprising that this is a pg13 movie . i caught one one ! fbomb in this entire movie about violent toughguy robbers . on some level , i like that . take the kids . br br the director is nimrod antal , a hungarian who made a fine noir set in the budapest subway system called kontroll . screenwriter is an outofnowhere guy called james v . simpson . br br a lot of the people in this movie are just starting out . i am willing to bet the esteem given to this movie will rise as time goes on and these filmmakers advance in their careers .",1,0
"this movie probably had a 750 budget , and still managed to surpass titanic . i rented this the day i crashed my mom's car , and it was the only thing that cheered me up beyond belief ! it has to be tied with 'the assult of the killer bimbos' . things to look for are 1 . the drive in blow job chinese girl scene 2 . the bleach blonde in the sassoon shirt who never changes 3 . the flinstonelike screech out driving 4 . the clashing ensemble worn by the redhead right before she gets killed don't worry , i'm not ruining any surprises , for it's soooo predictable 5 . the guy who finds it necessary to howl . 6 . the mental patient who plays a convincing job of being insane by poking out the eyes of a maniquen . 7 . the hour long chase at the end involving the teacher and the priest . 8 . the womman writing grafitti on the bathroom wall . 9 . last , but not least , the wonderful special effectsespecially the stab in the boob that made a . . . heaven help me . . . popping noise . br br enjoy ! br br",1,0
"no one would ever question that director leos carax is a genius , but what we wonder about is is he an insane genius ? so many people hated this film ! i am normally the first person to accuse many french directors of making offensive , boring , disgusting and pretentious films such as the horrible recent film 'l'enfant' and the pointless and offensive 'feux rouges' . but strangely enough , i actually think that 'pola x' is an amazing film , made with great skill and passion by a master of his craft , and containing remarkable performances . the film does carry melodrama to more extreme lengths than i believe i have ever seen on screen before . but then , carax is extreme , that we know . the film also contains what i consider way overthetop trotskyite or anarchist fantasies and wetdreams , what with a mysterious group of young men training to fire machine guns at the bourgeoisie in between playing scott walker's rather fascinating music in a band which has its recording sessions in an abandoned warehouse filled with squatters and fires burning in old steel barrels . guillaume depardieu plays a rich young man in a chteau whose stepmother is catherine deneuve , and he wanders into her bathroom while she is naked in the bath , by the way . but he suddenly 'snaps' completely when he discovers that his deceased father , a famous diplomat , had fathered an illegitimate daughter who had been effectively disposed of by deneuve as an inconvenience . this is because the sister suddenly turns up as a kind of romanian refugee with wild dishevelled hair , expressionless face , and little ability to speak french coherently . depardieu then transforms himself into a 'class hero' of the far left and wants to kill or destroy his family for their hypocrisy and corruption , and lives in squalor and extreme poverty , while scorning a vast inheritance . he then commences an incestuous sexual relationship with his halfsister , which is shown in an explicit sex scene which has offended many people , though i have no objection to it , as i think people are far too hysterical about sex , especially in america , where apparently it never happens . the intensity of the acting and the filming make this unlikely scenario come off as an experience of powerful , if depressing , hypermelodrama . the differences between carax making an extreme film like this and the numerous extreme french films which i think are pretentious and disgusting are 1 that carax is an excellent filmmaker , and 2 he is seriously attempting to explore a meaningful , if harrowing , extreme emotional condition , whereby a human being disintegrates and turns against his background . many would say that the extreme elements in this film were gratuitous , but i don't agree . i believe carax was genuine , and was not making an exploitation picture at all . it is very difficult to defend a man who goes that far and who , for all i know , may be a complete madman , but i believe he deserves defending for this remarkable cinematic achievement .",1,0
"saving grace is never riotously funny , but it delivers quite a few good laughs and i enjoyed it to a significant degree . brenda blethyn is a fine actress , and does a good job at portraying widower grace , who resorts to growing marijuana to pay off her massive debts . the supporting cast also does a fine job . french actor tchecky karyo has a funny little role . the premise alone is appealing . the idea of an overthehill woman growing and smoking pot sounds funny enough . and the film plays around with the premise wisely every now and then . of course , there are flat moments , like one where two elderly women mistaken grace's marijuana leaves for tea leaves and they start pulling childish antics at the store where they work . that was a mindless gag that didn't quite take off . the film's tone is downbeat and occasionally dull , but i got enough laughs to give this english import a recommendation . br br my score 7 out of 10",1,0
"financially strapped paramount pulled out all the stops for this '34 stage adaptation entry big budget , large cast , extravagant production and mitch leisen tagged as the director . what happened ? two things busby berkeley didn't work for the outof focus rock and a murder mystery script that didn't deserve to be in the same trash can as the worst charlie chan first draft down the street . i have to believe that the cutting was out of leisen's hands since the great duke ellington's number is savagely chopped , but that doesn't mean that it ain't worth a look the 'sweet marihuana' number featuring topless chorus girls is a mind blower , considering the looming production code and it also has the ravishing toby wing whose unfortunately fed horrible lines and playing the prototype dumb blonde as a chorion hot for an otherwise preoccupied jack oakie . carl brisson's acting is bland as melba toast but he's a competent singer . maclaglen reaches for new plateaus as a stereotypical dumb detective . and try to spot lucy in the chorus . this rates a 7 . 0 as a curiosity . feb 2010 rethink i recently gave the film another look and now feel i was wrong to berate the lack of busby berkeley production numbers . i can understand leisen's argument for more realistic production numbers within the context of the plot . i still have enormous issues with the editing however . paramount , the raciest major studio in town , faced huge issues with the production code at the worst possible time in it's history , financially speaking , and pulled out all the stops on this one also check out 1934's search for beauty . a must see for precode buffs .",1,0
"mom should really be given a different title to distinguish it from all the other movies out there called mom or with the word mom in the title . br br this is a vastly superior zombie movie to so much of the rubbish that gets churned out time after time and all end up much the same as every other zombie movie out there . br br it is so different and refreshing it almost defies categorisation . br br the kind old lady who takes in a creepy lodger , who just happens to be a flesh eater , who then infects the old lady who also turns into a flesh eating zombie , or ghoul , quite which exactly is not defined . br br there is pathos in the story as her son realises what she has become and while at first horrified , attempts to help her by supplying 'food' . i shall say no more about that , for fear of inserting a spoiler ! it is one of those 'quiet' movies as opposed to guns blasting , explosions raging , car chases , etc boring etc that makes so many movies all the same rubbish , but still with enough gory moments to satisfy horror fans , whilst also inserting sadness into the story , along with nice touches of humour as opposed to downright silliness of some socalled 'horror' movies . br br there is a particularly nice atmospheric shot at the beginning of the film , where the old lady is sitting alone in her room with only her christmas tree for company and looks so 'innocent' , but , what she becomes ! ! oh my ! br br a gem of a movie and even if not your thing , should at least be viewed if only once by any true horror fan .",1,0
"those engaging the movie camera so early in the century must have figured out some of its potential very early on . this is a good story of a playboy type who needs money and inadvertently sells his soul to satan for a lot of money . unfortunately , the soul is his double and he must confront him frequently , tearing his life apart . there are some wonderful scenes with people fading out and , of course , the scenes when the two are on the stage at the same time . the middle part is a bit dull , but the faustian story is always in the minds of the viewer . one thing i have to mention is the general unattractiveness of the people in the movie . also , they pretty much shied away from much action which would have at least given some life to the thing . i first was made aware of this movie about 25 years ago and have finally been able to see it . i was not disappointed .",1,0
"being from canada , i cannot say whether this film is original in the context of danish cinema unfortunately , we , here , do not get to see many danish films in a year ! i also cannot comment on clausen's acting in the context of his other roles i personally found him quite believable a touching monstrosity of a man , this jorgen ! as for the actor who played kenneth why would his participation in a tv show rule him out as an actor aren't we over such elitist attitudes ? international viewers unaware of his big brother participation will find him a fair actor . br br in spite of the movie's faults the writing could have been subtler in some instances , i do subscribe to what one could call the 'message' of the film namely art's essential role in everyday life , art as healing force . art , as nietzsche said , sanctifies the lie 'kunst heiligt die luege' it is a holy lie the wedding scene is fabulous in this sense a theatrical , not religious , wedding , celebrating love and life as play . . .",1,0
