text,true,pred
"despite being a huge fan of fred astaire and ginger rogers' movies , it wasn't until about 6 years ago that i first saw 'follow the fleet' . i knew all the songs from an old astairerogers record yes , vinyl but knew nothing of the plot . br br unfortunately , while the songs are catchy and ginger rogers' character is sweet and funny , you just can't like 'bake baker' . while trying to make up to his longtime partner , he continually sabotages her career . his character doesn't have the usual humour and elan of the other films' astaire characters . br br worth watching for the songs and a great solo tap routine by ginger rogers .",0,1
"ok , let me again admit that i haven't seen any other merchant ivory the distributor films . nor have i seen more celebrated works by the director , so my capacity to discuss before the rains outside of analysis of the film itself is mitigated . with that admittance , let me begin . br br before the rains is a different kind of movie that doesn't know which genre it wants to be . at first , it pretends to be a romance . in most romances , the protagonist falls in love with a supporting character , is separated from the supporting character , and is sometimes united with his or her partner . this movie's hero has already won the heart of his lover but cannot be with her . his name is henry moores and her name is sajani , and they reside in southern india during the waning days of the raj british imperial rule . henry has been away from london for a long time and has fallen in love with his married indian maid , despite his legal marriage and child overseas . what could be better than that ? they often sneak away for intimate afternoons until some children notice them . word spreads to sajani's husband who questions her involvement with moores . she denies any contact with him , but moores asks her to leave the area . sajani refuses because of her devotion to him and commits suicide . please take note that these events occur in the opening third of the film . the film changes tone and becomes a crimedrama in its final portions . br br sajani's body is discovered right as moores' family comes to visit . the alleged perpetrator is moores's englisheducated assistant t . k . t . k . knows of his master's affair but keeps silent until his life becomes threatened . once he is declared innocent , he attempts to regain his honor by killing moores . t . k . is too squeamish and leaves him in a dirt path as the rains fall . br br i want to warn you , this isn't a romance film . the dvd cover and theatrical posters show an indian woman and caucasian man embracing in an idealized tropic setting . this image is captured directly from the film's opening , but quickly disappears . then it's over . it seems like an effort to capitalize on western fixation on forbidden love . it isn't effective , at all . not only is the movie not a romance , but its characters lack any personality . they are bundles of walking clichs . moores is an arrogant white man who doesn't recognize his indian friend , t . k . 's intelligence . t . k . is torn between his own heritage and his educative background . sajani is a woman incapable of having a choice in her romantic life . oh , and , of course , moores' family is inquisitive into sajani's death but still slightly racist to indians . if the tone wasn't so serious , i would be willing to overlook these problems , but it isn't . the film is presented with a didactic overtone which highlights its poor character development . br br no , this film isn't terrible . other than the laughable screenplay , it isn't poor . the actors are all experienced and perform well here . nandita das , who plays sajani , was part of wonderful indian drama water . even director sivan has an impressive resume . he recently oversaw the terrorist , which is part of roger ebert's great movies collection . what happened here ? why is this movie so bad ? well , sivan mentioned how he was inspired to direct this film because of a short he viewed in israel called red roofs . apparently , the story was timeless , and sivan sought to create a similar experience set in 1930's india . i don't have any problem with that approach , but i think sivan may have been too motivated this time . the actors , cinematography , and set design are acceptable but unless you share sivan's aura , you'll probably not enjoy it . my recommendation is that you presume you aren't in accordance with him and watch something else . final consensus and out of",0,1
"i was excited to hear that someone had made a documentary on what it was like to be puerto rican . when i heard it was rosie perez , i wondered . . could she possibly know what it is really like to be puerto rican . as far as i knew . . . . she was a nuyorican . well anyway , i anxiously sat with my popcorn to watch . i realized 10 min into it that my initial apprehension was right . rosie perez has little knowledge about what it is like to be puerto rican . this documentary is more a 1st hand , very very personal account on what it is like to be a nuyorican . . and all of what that entails . she like most of the nuyoricans i know have a watered down , partial and sometimes twisted sense of history . how could they not . . they live here . yes , all of them are proud . as they should be ! but a lot don't know the ins and outs of the real culture , history and political background or language for the most part . it all became very very apparent with her participation in the vieques issue . regardless of my personal take is on this issue . . at least i know what the hell the fight is for . there is she is getting arrested for something she knew little about . . and only participated in because it was a puerto rican cause i really don't understand how she is not embarrassed to admit to it . for those of you that are not puerto rican , please view this as a partial account of a woman's journey of self discovery and acceptance . do not take this as gospel . . . a lot of it isn't even true . please consider the source . rosie is an actress ; not a historian . this movie is not and should never be , for other nuyoricans , the base for their information . instead , just a step towards finding more info , learning and debating what the reality is . not just the one coming from this woman's eyes .",0,1
"richard dix is a big , not very nice industrialist , who has nearly worked himself to death . if he takes the vacation his doctors suggest for him , can he find happiness for the last months of his life ? well , he'll likely be better off if he disregards the voice of the whistler . br br this william castle directed entry has some great moments the introduction and the depiction of richard dix's life through newsreel a la citizen kane , and some intriguing plotting in the final reels . dix's performance is generally pretty good . but , unfortunately , the just does not quite work because one does not end up buying that the characters would behave the way that they do . also , the movie veers from a dark and fascinating beginning to an almost cheerful 30s movie like midsection full of nice urban ethnic types who don't mind that they aren't rich and back again to a complex noir plot for the last 15 minutes or so . br br this is a decent movie worth seeing but it needed a little more running time to establish a couple of the characters and a female lead capable of meeting the demands of her role .",0,1
"black vengeance is an alternate title for ying hung ho hon aka tragic hero 1987 . i have just seen this on vhs , together with the first part of the story , gong woo ching rich and famous , also 1987 . the poster and 2 stills featured on the page are for a 4dvd set of movies starring rod perry the black gestapo , fred williamson black cobra 2 , richard lawson black fist . the fourth movie is called the black six . strangely , while the characters retain their original names in rich and famous , in black vengeance chow yunfat's character is named eddie shaw , alex man man tze leung is harry , and andy lau is called johnny . also confusing is the fact that 1994 is given as the copyright dates on both films . perhaps that was the year they were americandubbed . according to the release dates given on imdb tragic hero was released before rich and famous . was there any reason for releasing the sequel first ? despite some users' comments , i enjoyed these films , although they aren't among cyf's best such as the killer and hardboiled which are truly astonishing . however , if one day i come across a 2dvd set of rich and famous and tragic hero i won't hesitate to buy it . hopefully , these comments about black vengeance clear up , which was also for me , a mystery as to where it belonged in chow yunfat's filmography .",0,1
"this is among one of many usa attempts of remaking a old classic british tv show , that's more famous than this one . from what i see none of you haven't mentioned or even acknowledged that you knew there was a tv 50's60's called secret agent man the original secret agent man starred the great patrick mcgoohan the prisoner , braveheart , ice station zebra , the phantom , etc a man who was tapped to be the first james bond , but he turned it down because mcgoohan was a very devout man and he considered james bond's bed hopping and violent ways to be against his values . br br this show was done in black and white , and it's a pity for those who haven't seen it , you are missing out on a lot . the character mr . mcgoohan played in secret agent man was named drake , and after he finished with that show he went on to the do the very popular though at times bizarre and controversial tv series called the prisoner . the character he played in the prisoner was that of a agent who's identity is not revealed is kidnapped and transported to a island where he does not know where he is or who it was that is responsible for kidnapping him . what he does know is that his captors want to know the reasons behind his resignation from the british secret service , and on this island the populace don't have names but they are referred to by numbers and patricks character is assigned a number which is 6 it was argued that his prisoner character was in fact the same character he played in secret agent man but mcgoohan himself disputed this . br br ofourse there is the unmistakable famous theme song that the original secret agent man spawned . it was written by johnny rivers a famous 50's and 60's pop musician and from what i read some of you are actually think that the song comes from this version of the show . you're very wrong about that . it was johnny's and it comes from the original tv series so let me help to set the facts straight . to those of you who complained about the name of the show being stupid , well in england , it was actually called danger man and in the us it was retitled secret agent man for such a supposedly stupid name the show did well enough when it was first aired . br br granted this current show has little to do with the original , no such main character named drake in this one , and i guess they did their best to make this show their version of secret agent man . but it does use the redone version of the original theme song so that does tell you that this show was indeed meant to be a redone albeit however inferior redone version of the original series .",0,1
"so on the chills network on cable they are having vampire month , i'm such a dork , but i love vampires . so after a few duds that they showed i was pretty disappointed , but then i noticed sleepwalkers was written by stephen king . so i decided to go ahead and check it out , well much to my surprise , this movie was really bad . most stephen king films are entertaining and some are very scary . while sleepwalkers was bad , it was a beautiful kind of bad . i had a good time laughing at this movie and just taking it for what it was . i've never read sleepwalkers , from what i understand this is the only real vampire story by king , so i can't really compare book to film . i don't know if it was just my tv , but sleepwalkers looked like it was made for tv . the special effects were corny and the story was a bit far fetched , even if it is fantasy , it had a lot of problems . br br charles brady and his mother mary are vampires who feed off the life force of virgin women . they are considerably more resilient than humans and have powers of both telekinesis and illusion . their one weakness is cats , who are not only able to see through their illusions but whose claws are capable of inflicting severe to fatal wounds upon them . they also maintain an incestuous relationship . charles and mary have taken up residence in a small indiana town . charles attends the local high school , and there he meets tanya robertson in his creative writing class . tanya does not suspect the real reason why charles wants her so much ; to take her life force for his mother , who is starving . at first , it seems that charles has fallen in love with tanya . on their first date , however , a picnic at the nearby cemetery , charles attempts to drain the life force from tanya while kissing her . as it happens , deputy sheriff andy simpson who had earlier tried to pull charles over for speeding , drives by the cemetery and notices charles' car . when tanya runs to him for help , charles tracks andy down and kills him . when charles then turns to resume his life forcedepleting make out session with tanya , the deputy's cat , clovis , rises to the occasion and nearly kills charles by scratching him in the face and chest . mortally wounded by clovis , charles staggers back home to mary . mary then seeks vengeance on tanya's family . br br so to sum this movie up basically you should expect the cheese to overflow . the scene where charles attacks tanya for the first time is very clich and you almost vote for charles to win just because tanya is one of the dumbest female leads in horror movies . then you gotta love the scene where mary has a gun and shoots it at a cop car and somehow the whole thing explodes , god bless hollywood explosions and exaggerations . i'm taking the movie for what it is , it's just so deliciously bad that it turns into a dark comedy for me that i could just enjoy making fun of . i'm not sure if this is what stephen king wanted to see for his story , but he does have his typical cameo in the film . so my suggestion if you watch this movie , just take it for what it is and don't over think it , it's mindless entertainment with corny effects , bad casting , a silly story and enough cats to make the crazy cat lady from the simpson's say wow , that's a lot of cats . br br 410",0,1
"for those who like depressing films with sleazy characters and a sordid storyline , this one is for you ! from the bleak new york city atmosphere , which comes across as an extremely grim and almost hopeless place , to two diverse lead characters devoid of much sense of morality , this movie is a real downer . br br why it won the academy award was because it was so shocking at that time that hollywood , brand new its freedom to show anything it wanted with all moral codes abandoned , wanted to celebrate that fact . filmmakers then were like an immature sixyearold with an unlimited expense account at the local candy store . so , hollywood gave theater viewers for probably the first time a dose of rape , prostitution , homosexuality , child nudity , homeless existence and other such wonderful sights and sounds only its twisted brain would think is appealing . . . . and then awarded its work . br br it also hoped , i'm sure , to shock mainstream audiences . well , it succeeded on that level . audiences were stunned at what they say and heard and the academy , proud of itself for being able to display filth and make money at the same time , couldn't help but bestow honors upon this piece of gilded garbage . br br forty years ago , as a very young man , i found this film fascinating , too . however , seeing it again in the 1990s left such a bad taste in my mouth i never watched to view it again . br br the acting was good , but so what ? acting is good in many films . nobody ever said dustin hoffman and jon voight couldn't act . hoffman was particularly good in his younger days in playing wackedout people . he was kind of like the johnny depp of his era , playing guys like ratso rizzo in this film and then going to be the rain man later on . yes , ratso is a character you'll never forget , and joe buck voight is one you want to forget , but the story is so sordid , it overwhelms the fine acting . br br this movie isn't art , and it isn't worthy of its many awards ; it only pushed the envelope bigtime in 1969 and that's why it is so fondly remembered in the hearts of film people and critics . it's two hours of profanity and ultrasleazy , religious cheap shots , glorifying weirdos andy warhol even gets in the act no surprise , and generally despicable people . br br i did like the catchy song , everybody's talking' that helped make harry nilsson famous , but even that was bogus because fred neil wrote the song and sang it better , before nilsson did it . . . . and few people have ever heard of neil which is their loss . and as mentioned the name ratso rizzo kind of stays with you ! br br the film is a landmark , but in a negative sense , i fear this marked it as official that hollywood had gone down the toilet , and it has remained in the sewer ever since .",0,1
"i saw this movie in 1956 and again on cable a few days ago . the movie hasn't improved with age . quite the opposite . it's a true spaghetti epic . br br the trojans are heroic and likable ; the greeks are nasty , petty and sneaky . br br so what if paris ran off with the king's wife ? hey . . . love is love .",0,1
"this appears to be two movies spliced into one . in the first , zasu pitts is a renegade in a small town . she wants to help the romantic life of marjorie woodworth . ok i'd never heard of her before either . but she and pitts are in both parts of this concoction . br br before we know it , pitts is no longer miss polly . she is emmie . i had to rewind to see if i'd fallen asleep somewhere . i hadn't . she no longer in a small town but on her way to the title honeymoon destination . br br the movie has some cute moments . the first part is better , with roles for what seems to be every thirdrate character actress working in hollywood at the time . br br and what of ms . woolworth ? she sounds a little like betty hutton . she sounds a little like marie wilson . she's pretty , certainly . but she's no comedienne . br br pitts often was used in very small roles . here she has the largest role . she's always fun , though this movie made me wonder if a little of her doesn't go quite a long way . as a comic . when she was a tragic actress in von stroheim silents the wedding march and greed are the two i have seen she was brilliant .",0,1
